date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-05-21,5102278,334028,1902975,106536
2020-05-22,5209244,339314,2010748,106966
2020-05-23,5308225,343305,2065009,98981
2020-05-24,5403524,346127,2119762,95299
2020-05-25,5490497,347309,2182812,86973
2020-05-26,5583031,351520,2237325,92534
2020-05-27,5685633,356707,2299820,102602
2020-05-28,5803599,361392,2365953,117966
2020-05-29,5924709,366076,2442334,121110
2020-05-30,6053134,370211,2512188,128425
2020-05-31,6160243,373078,2587796,107109
2020-06-01,6256493,376608,2641807,96250
2020-06-02,6369046,381307,2745291,112553
2020-06-03,6496381,387013,2823638,127335
2020-06-04,6623083,392161,2892984,126702
2020-06-05,6755724,396983,2961245,132641
2020-06-06,6881530,400801,3032422,125806
2020-06-07,6993970,403550,3086926,112440
2020-06-08,7097409,407306,3237848,103439
2020-06-09,7220392,412161,3319329,122983
2020-06-10,7354172,417366,3397362,133780
2020-06-11,7492360,422150,3482329,138188
2020-06-12,7621346,426445,3561141,128986
2020-06-13,7755445,430695,3646256,134099
2020-06-14,7888575,434041,3716214,133130
2020-06-15,8010360,437545,3795613,121785
2020-06-16,8149939,444334,3893008,139579
2020-06-17,8325831,449605,4010413,175892
2020-06-18,8464706,454614,4091040,138875
2020-06-19,8645640,460883,4185510,180934
2020-06-20,8803904,465151,4300822,158264
2020-06-21,8934807,469208,4369091,130903
2020-06-22,9072666,472779,4460324,137859
2020-06-23,9238013,478203,4563932,165347
2020-06-24,9405649,483377,4679247,167636
2020-06-25,9583608,489928,4771711,177959
2020-06-26,9774609,494773,4878026,191001
2020-06-27,9952423,499291,4984068,177814
2020-06-28,10117641,502450,5072856,165218
2020-06-29,10273510,506076,5166760,155869
2020-06-30,10447879,511268,5283724,174369
2020-07-01,10664168,516253,5399355,216289
2020-07-02,10871926,521361,5683748,207758
2020-07-03,11076086,526419,5793219,204160
2020-07-04,11269114,530767,5988655,193028
2020-07-05,11452196,534280,6107828,183082
2020-07-06,11620096,538058,6231058,167900
