country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-06,33190,20103,898,239
Albania,2020-07-06,2964,1702,79,71
Algeria,2020-07-06,16404,11884,959,463
Andorra,2020-07-06,855,800,52,0
Angola,2020-07-06,346,108,19,0
Antigua and Barbuda,2020-07-06,70,23,3,2
Argentina,2020-07-06,80447,28531,1582,2632
Armenia,2020-07-06,28936,16302,491,330
Australia,2020-07-06,8755,7455,106,172
Austria,2020-07-06,18365,16647,706,85
Azerbaijan,2020-07-06,20837,12182,258,513
Bahamas,2020-07-06,104,89,11,0
Bahrain,2020-07-06,29821,25178,98,454
Bangladesh,2020-07-06,165618,76149,2096,3201
Barbados,2020-07-06,98,90,7,0
Belarus,2020-07-06,63804,51120,429,250
Belgium,2020-07-06,62058,17091,9774,42
Belize,2020-07-06,30,19,2,0
Benin,2020-07-06,1199,333,21,0
Bhutan,2020-07-06,80,53,0,0
Bolivia,2020-07-06,40509,11929,1476,1212
Bosnia and Herzegovina,2020-07-06,5458,2598,199,496
Botswana,2020-07-06,314,31,1,37
Brazil,2020-07-06,1623284,1062542,65487,20229
Brunei,2020-07-06,141,138,3,0
Bulgaria,2020-07-06,5914,3000,250,174
Burkina Faso,2020-07-06,1000,858,53,13
Burma,2020-07-06,316,245,6,3
Burundi,2020-07-06,191,118,1,0
Cabo Verde,2020-07-06,1463,722,17,12
Cambodia,2020-07-06,141,131,0,0
Cameroon,2020-07-06,12592,10100,313,0
Canada,2020-07-06,107815,0,8748,421
Central African Republic,2020-07-06,4033,970,52,64
Chad,2020-07-06,872,787,74,0
Chile,2020-07-06,298557,264378,6384,3025
China,2020-07-06,84889,79725,4641,18
Colombia,2020-07-06,117412,47961,4305,3727
Comoros,2020-07-06,311,266,7,0
Congo (Brazzaville),2020-07-06,1557,501,44,0
Congo (Kinshasa),2020-07-06,7432,3226,182,21
Costa Rica,2020-07-06,5241,1776,23,245
Cote d'Ivoire,2020-07-06,10966,5384,75,194
Croatia,2020-07-06,3220,2210,113,69
Cuba,2020-07-06,2380,2234,86,8
Cyprus,2020-07-06,1004,839,19,1
Czechia,2020-07-06,12566,7873,350,51
Denmark,2020-07-06,13079,12135,607,46
Djibouti,2020-07-06,4822,4610,55,30
Dominica,2020-07-06,18,18,0,0
Dominican Republic,2020-07-06,38128,19489,804,703
Ecuador,2020-07-06,62380,28872,4821,422
Egypt,2020-07-06,76222,21238,3422,969
El Salvador,2020-07-06,8027,4730,223,250
Equatorial Guinea,2020-07-06,3071,842,51,0
Eritrea,2020-07-06,215,56,0,0
Estonia,2020-07-06,1994,1875,69,1
Eswatini,2020-07-06,1011,564,13,23
Ethiopia,2020-07-06,5846,2430,103,0
Fiji,2020-07-06,21,18,0,2
Finland,2020-07-06,7257,6700,329,4
France,2020-07-06,205597,77444,29923,1375
Gabon,2020-07-06,5743,2574,46,123
Gambia,2020-07-06,61,27,3,4
Georgia,2020-07-06,953,830,15,2
Germany,2020-07-06,198064,182160,9022,541
Ghana,2020-07-06,21077,16070,129,992
Greece,2020-07-06,3562,1374,192,43
Grenada,2020-07-06,23,23,0,0
Guatemala,2020-07-06,23972,3429,981,724
Guinea,2020-07-06,5610,4522,34,0
Guinea-Bissau,2020-07-06,1790,760,25,25
Guyana,2020-07-06,273,120,15,0
Haiti,2020-07-06,6371,1824,113,38
Holy See,2020-07-06,12,12,0,0
Honduras,2020-07-06,24665,2585,656,722
Hungary,2020-07-06,4189,2860,589,6
Iceland,2020-07-06,1866,1840,10,3
India,2020-07-06,719664,439934,20159,22251
Indonesia,2020-07-06,64958,29919,3241,1209
Iran,2020-07-06,243051,204083,11731,2613
Iraq,2020-07-06,62275,34741,2567,1796
Ireland,2020-07-06,25531,23364,1741,4
Israel,2020-07-06,30749,18056,334,791
Italy,2020-07-06,241819,192241,34869,208
Jamaica,2020-07-06,737,591,10,5
Japan,2020-07-06,19848,17007,978,180
Jordan,2020-07-06,1167,957,10,3
Kazakhstan,2020-07-06,49683,15860,264,1109
