country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Cuba,2020-07-14,2432,2275,87,4
Cyprus,2020-07-14,1023,839,19,1
Czechia,2020-07-14,13341,0,355,103
Denmark,2020-07-14,13262,12361,610,24
Djibouti,2020-07-14,4979,4743,56,2
Dominica,2020-07-14,18,18,0,0
Dominican Republic,2020-07-14,46305,23134,910,799
Ecuador,2020-07-14,69570,30484,5130,1111
Egypt,2020-07-14,83930,25544,4008,929
El Salvador,2020-07-14,10303,5919,278,325
Equatorial Guinea,2020-07-14,3071,842,51,0
Eritrea,2020-07-14,232,107,0,0
Estonia,2020-07-14,2015,1897,69,1
Eswatini,2020-07-14,1434,695,20,45
Ethiopia,2020-07-14,7969,2430,139,203
Fiji,2020-07-14,26,18,0,0
Finland,2020-07-14,7301,6800,329,6
France,2020-07-14,209640,78722,30032,0
Gabon,2020-07-14,6026,3475,46,0
Gambia,2020-07-14,64,34,3,0
Georgia,2020-07-14,999,870,15,4
Germany,2020-07-14,200456,185100,9078,276
Ghana,2020-07-14,24988,21067,139,0
Greece,2020-07-14,3883,1374,193,57
Grenada,2020-07-14,23,0,0,0
Guatemala,2020-07-14,30872,4453,1302,1130
Guinea,2020-07-14,6200,4951,38,59
Guinea-Bissau,2020-07-14,1842,773,26,0
Guyana,2020-07-14,308,156,17,8
Haiti,2020-07-14,6727,3022,141,0
Holy See,2020-07-14,12,12,0,0
Honduras,2020-07-14,28579,3123,789,0
Hungary,2020-07-14,4258,3106,595,11
Iceland,2020-07-14,1905,1882,10,5
India,2020-07-14,936181,592032,24309,29429
Indonesia,2020-07-14,78572,37636,3710,1591
Iran,2020-07-14,262173,225270,13211,2521
Iraq,2020-07-14,81757,50782,3345,2022
Ireland,2020-07-14,25670,23364,1746,32
Israel,2020-07-14,42360,19665,371,1728
Italy,2020-07-14,243344,195441,34984,114
Jamaica,2020-07-14,762,643,10,3
Japan,2020-07-14,22437,18126,984,312
Jordan,2020-07-14,1198,1013,10,15
Kazakhstan,2020-07-14,63514,38008,375,1759
Kenya,2020-07-14,10791,3017,202,497
"Korea, South",2020-07-14,13551,12348,289,39
Kosovo,2020-07-14,5118,2370,108,0
Kuwait,2020-07-14,56174,46161,396,666
Kyrgyzstan,2020-07-14,11444,3538,149,0
Laos,2020-07-14,19,0,0,0
Latvia,2020-07-14,1174,1022,31,0
Lebanon,2020-07-14,2451,1452,37,32
Lesotho,2020-07-14,256,48,3,11
Liberia,2020-07-14,1024,439,51,0
Libya,2020-07-14,1563,370,42,51
Liechtenstein,2020-07-14,84,81,1,0
Lithuania,2020-07-14,1875,1571,79,1
Luxembourg,2020-07-14,5056,4195,111,100
Madagascar,2020-07-14,5343,2646,39,263
Malawi,2020-07-14,2497,795,40,67
Malaysia,2020-07-14,8729,8524,122,4
Maldives,2020-07-14,2801,2302,14,39
Mali,2020-07-14,2423,1748,121,11
Malta,2020-07-14,674,660,9,0
Mauritania,2020-07-14,5518,2664,147,72
Mauritius,2020-07-14,342,330,10,0
Mexico,2020-07-14,311486,245830,36327,7051
Moldova,2020-07-14,19708,13033,655,269
Monaco,2020-07-14,109,97,4,0
Mongolia,2020-07-14,261,207,0,18
Montenegro,2020-07-14,1287,330,24,0
Morocco,2020-07-14,16097,13442,257,161
Mozambique,2020-07-14,1268,0,9,49
Namibia,2020-07-14,864,29,2,3
Nepal,2020-07-14,17061,10328,38,116
Netherlands,2020-07-14,51362,193,6154,54
New Zealand,2020-07-14,1547,1498,22,2
Nicaragua,2020-07-14,3147,2282,99,301
Niger,2020-07-14,1099,992,68,0
Nigeria,2020-07-14,33616,13792,754,463
North Macedonia,2020-07-14,8332,4468,389,135
Norway,2020-07-14,9001,8138,253,17
Oman,2020-07-14,59568,37987,273,1389
Pakistan,2020-07-14,255769,172810,5386,2165
Panama,2020-07-14,48096,24667,960,923
Papua New Guinea,2020-07-14,11,8,0,0
Paraguay,2020-07-14,3074,1308,25,94
Peru,2020-07-14,333867,223261,12229,3744
Philippines,2020-07-14,57545,20459,1603,539
Poland,2020-07-14,38457,27756,1588,267
Portugal,2020-07-14,47051,31550,1668,233
Qatar,2020-07-14,104533,101160,150,517
Romania,2020-07-14,33585,21803,1931,637
Russia,2020-07-14,738787,511958,11597,6240
Rwanda,2020-07-14,1416,737,4,38
Saint Kitts and Nevis,2020-07-14,17,15,0,0
Saint Lucia,2020-07-14,22,19,0,0
Saint Vincent and the Grenadines,2020-07-14,35,29,0,0
San Marino,2020-07-14,699,656,42,0
Sao Tome and Principe,2020-07-14,732,286,14,0
Saudi Arabia,2020-07-14,237803,177560,2283,2692
Senegal,2020-07-14,8243,5580,150,45
Serbia,2020-07-14,18983,13991,418,344
Seychelles,2020-07-14,100,11,0,0
Sierra Leone,2020-07-14,1651,1190,64,9
Singapore,2020-07-14,46630,42737,27,347
Slovakia,2020-07-14,1908,1493,28,6
Slovenia,2020-07-14,1859,1488,111,10
Somalia,2020-07-14,3076,1380,93,4
South Africa,2020-07-14,298292,146279,4346,10496
South Sudan,2020-07-14,2148,333,41,0
Spain,2020-07-14,256619,150376,28409,666
Sri Lanka,2020-07-14,2665,1988,11,19
Sudan,2020-07-14,10417,5579,659,101
Suriname,2020-07-14,801,543,18,21
Sweden,2020-07-14,76001,0,5545,175
Switzerland,2020-07-14,33016,29800,1968,70
Syria,2020-07-14,439,0,21,22
Taiwan*,2020-07-14,451,440,7,0
Tajikistan,2020-07-14,6643,5332,56,47
Tanzania,2020-07-14,509,183,21,0
Thailand,2020-07-14,3227,3091,58,7
Timor-Leste,2020-07-14,24,0,0,0
Togo,2020-07-14,731,528,15,10
Trinidad and Tobago,2020-07-14,133,124,8,0
Tunisia,2020-07-14,1306,1087,50,4
Turkey,2020-07-14,214993,196720,5402,992
Uganda,2020-07-14,1040,984,0,11
Ukraine,2020-07-14,55931,28021,1429,646
United Arab Emirates,2020-07-14,55573,46025,335,375
United Kingdom,2020-07-14,292931,1385,45053,1240
Uruguay,2020-07-14,997,905,31,8
USA,2020-07-14,3431574,1049098,136466,67417
Uzbekistan,2020-07-14,14085,8327,67,494
Venezuela,2020-07-14,10010,2671,96,303
Vietnam,2020-07-14,373,352,0,0
West Bank and Gaza,2020-07-14,6764,1084,44,198
Western Sahara,2020-07-14,10,8,1,0
Yemen,2020-07-14,1516,685,429,18
Zambia,2020-07-14,1895,1412,42,0
Zimbabwe,2020-07-14,1064,343,20,30
