country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-14,34740,21454,1048,285
Albania,2020-07-14,3667,2062,97,96
Algeria,2020-07-14,20216,14295,1028,527
Andorra,2020-07-14,861,803,52,3
Angola,2020-07-14,541,118,26,16
Antigua and Barbuda,2020-07-14,74,57,3,0
Argentina,2020-07-14,106910,45467,1968,3645
Armenia,2020-07-14,32490,20729,581,339
Australia,2020-07-14,10487,7928,111,236
Austria,2020-07-14,19021,17073,709,73
Azerbaijan,2020-07-14,25113,16150,319,543
Bahamas,2020-07-14,116,91,11,3
Bahrain,2020-07-14,34078,29753,111,602
Bangladesh,2020-07-14,190057,103227,2424,3163
Barbados,2020-07-14,103,90,7,0
Belarus,2020-07-14,65269,55799,474,155
Belgium,2020-07-14,62781,17223,9787,74
Belize,2020-07-14,39,21,2,2
Benin,2020-07-14,1378,557,26,0
Bhutan,2020-07-14,84,78,0,0
Bolivia,2020-07-14,50867,15819,1898,1617
Bosnia and Herzegovina,2020-07-14,6981,3179,226,0
Botswana,2020-07-14,399,38,1,0
Brazil,2020-07-14,1926824,1323425,74133,41857
Brunei,2020-07-14,141,138,3,0
Bulgaria,2020-07-14,7645,3663,283,234
Burkina Faso,2020-07-14,1037,873,53,1
Burma,2020-07-14,337,261,6,1
Burundi,2020-07-14,269,207,1,0
Cabo Verde,2020-07-14,1722,772,19,24
Cambodia,2020-07-14,165,133,0,0
Cameroon,2020-07-14,15173,0,359,0
Canada,2020-07-14,110350,0,8845,366
Central African Republic,2020-07-14,4356,1229,53,35
Chad,2020-07-14,884,798,75,4
Chile,2020-07-14,319493,289220,7069,1836
China,2020-07-14,85226,78190,4642,109
Colombia,2020-07-14,154277,65809,5787,3832
Comoros,2020-07-14,321,302,7,4
Congo (Brazzaville),2020-07-14,2028,589,47,0
Congo (Kinshasa),2020-07-14,8135,3948,190,60
Costa Rica,2020-07-14,8482,2441,37,446
Cote d'Ivoire,2020-07-14,13037,6908,87,165
Croatia,2020-07-14,3827,2558,120,52
