country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Chad,2020-07-14,884,798,75,4,Chad,TCD
Namibia,2020-07-14,864,29,2,3,Namibia,NAM
Andorra,2020-07-14,861,803,52,3,Andorra,AND
Suriname,2020-07-14,801,543,18,21,Suriname,SUR
Jamaica,2020-07-14,762,643,10,3,Jamaica,JAM
Sao Tome and Principe,2020-07-14,732,286,14,0,Sao Tome and Principe,STP
Togo,2020-07-14,731,528,15,10,Togo,TGO
San Marino,2020-07-14,699,656,42,0,San Marino,SMR
Malta,2020-07-14,674,660,9,0,Malta,MLT
Angola,2020-07-14,541,118,26,16,Angola,AGO
Tanzania,2020-07-14,509,183,21,0,Tanzania,TZA
Taiwan*,2020-07-14,451,440,7,0,NA,NA
Syria,2020-07-14,439,0,21,22,NA,NA
Botswana,2020-07-14,399,38,1,0,Botswana,BWA
Vietnam,2020-07-14,373,352,0,0,Vietnam,VNM
Mauritius,2020-07-14,342,330,10,0,Mauritius,MUS
Burma,2020-07-14,337,261,6,1,NA,NA
Comoros,2020-07-14,321,302,7,4,Comoros,COM
Guyana,2020-07-14,308,156,17,8,Guyana,GUY
Burundi,2020-07-14,269,207,1,0,Burundi,BDI
Mongolia,2020-07-14,261,207,0,18,Mongolia,MNG
Lesotho,2020-07-14,256,48,3,11,Lesotho,LSO
Eritrea,2020-07-14,232,107,0,0,NA,NA
Cambodia,2020-07-14,165,133,0,0,Cambodia,KHM
Brunei,2020-07-14,141,138,3,0,NA,NA
Trinidad and Tobago,2020-07-14,133,124,8,0,Trinidad and Tobago,TTO
Bahamas,2020-07-14,116,91,11,3,"Bahamas, The",BHS
Monaco,2020-07-14,109,97,4,0,NA,NA
Barbados,2020-07-14,103,90,7,0,Barbados,BRB
Seychelles,2020-07-14,100,11,0,0,Seychelles,SYC
Bhutan,2020-07-14,84,78,0,0,Bhutan,BTN
Liechtenstein,2020-07-14,84,81,1,0,NA,NA
Antigua and Barbuda,2020-07-14,74,57,3,0,Antigua and Barbuda,ATG
Gambia,2020-07-14,64,34,3,0,"Gambia, The",GMB
Belize,2020-07-14,39,21,2,2,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-14,35,29,0,0,NA,NA
Fiji,2020-07-14,26,18,0,0,Fiji,FJI
Timor-Leste,2020-07-14,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-14,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-14,22,19,0,0,NA,NA
Laos,2020-07-14,19,0,0,0,NA,NA
Dominica,2020-07-14,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-14,17,15,0,0,NA,NA
Holy See,2020-07-14,12,12,0,0,NA,NA
Papua New Guinea,2020-07-14,11,8,0,0,Papua New Guinea,PNG
Western Sahara,2020-07-14,10,8,1,0,NA,NA
