country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
USA,2020-07-14,3431574,1049098,136466,67417,United States,USA
Brazil,2020-07-14,1926824,1323425,74133,41857,Brazil,BRA
India,2020-07-14,936181,592032,24309,29429,India,IND
Russia,2020-07-14,738787,511958,11597,6240,NA,NA
Peru,2020-07-14,333867,223261,12229,3744,Peru,PER
Chile,2020-07-14,319493,289220,7069,1836,Chile,CHL
Mexico,2020-07-14,311486,245830,36327,7051,Mexico,MEX
South Africa,2020-07-14,298292,146279,4346,10496,South Africa,ZAF
United Kingdom,2020-07-14,292931,1385,45053,1240,United Kingdom,GBR
Iran,2020-07-14,262173,225270,13211,2521,NA,NA
Spain,2020-07-14,256619,150376,28409,666,Spain,ESP
Pakistan,2020-07-14,255769,172810,5386,2165,Pakistan,PAK
Italy,2020-07-14,243344,195441,34984,114,Italy,ITA
Saudi Arabia,2020-07-14,237803,177560,2283,2692,Saudi Arabia,SAU
Turkey,2020-07-14,214993,196720,5402,992,Turkey,TUR
France,2020-07-14,209640,78722,30032,0,France,FRA
Germany,2020-07-14,200456,185100,9078,276,Germany,DEU
Bangladesh,2020-07-14,190057,103227,2424,3163,Bangladesh,BGD
Colombia,2020-07-14,154277,65809,5787,3832,Colombia,COL
Canada,2020-07-14,110350,0,8845,366,Canada,CAN
Argentina,2020-07-14,106910,45467,1968,3645,Argentina,ARG
Qatar,2020-07-14,104533,101160,150,517,Qatar,QAT
China,2020-07-14,85226,78190,4642,109,China,CHN
Egypt,2020-07-14,83930,25544,4008,929,NA,NA
Iraq,2020-07-14,81757,50782,3345,2022,Iraq,IRQ
Indonesia,2020-07-14,78572,37636,3710,1591,Indonesia,IDN
Sweden,2020-07-14,76001,0,5545,175,Sweden,SWE
Ecuador,2020-07-14,69570,30484,5130,1111,Ecuador,ECU
Belarus,2020-07-14,65269,55799,474,155,Belarus,BLR
Kazakhstan,2020-07-14,63514,38008,375,1759,Kazakhstan,KAZ
Belgium,2020-07-14,62781,17223,9787,74,Belgium,BEL
Oman,2020-07-14,59568,37987,273,1389,Oman,OMN
Philippines,2020-07-14,57545,20459,1603,539,Philippines,PHL
Kuwait,2020-07-14,56174,46161,396,666,Kuwait,KWT
Ukraine,2020-07-14,55931,28021,1429,646,Ukraine,UKR
United Arab Emirates,2020-07-14,55573,46025,335,375,United Arab Emirates,ARE
Netherlands,2020-07-14,51362,193,6154,54,Netherlands,NLD
Bolivia,2020-07-14,50867,15819,1898,1617,Bolivia,BOL
Panama,2020-07-14,48096,24667,960,923,Panama,PAN
Portugal,2020-07-14,47051,31550,1668,233,Portugal,PRT
Singapore,2020-07-14,46630,42737,27,347,Singapore,SGP
Dominican Republic,2020-07-14,46305,23134,910,799,Dominican Republic,DOM
Israel,2020-07-14,42360,19665,371,1728,Israel,ISR
Poland,2020-07-14,38457,27756,1588,267,Poland,POL
Afghanistan,2020-07-14,34740,21454,1048,285,Afghanistan,AFG
Bahrain,2020-07-14,34078,29753,111,602,Bahrain,BHR
Nigeria,2020-07-14,33616,13792,754,463,Nigeria,NGA
Romania,2020-07-14,33585,21803,1931,637,Romania,ROU
Switzerland,2020-07-14,33016,29800,1968,70,Switzerland,CHE
Armenia,2020-07-14,32490,20729,581,339,Armenia,ARM
Guatemala,2020-07-14,30872,4453,1302,1130,Guatemala,GTM
Honduras,2020-07-14,28579,3123,789,0,Honduras,HND
Ireland,2020-07-14,25670,23364,1746,32,Ireland,IRL
Azerbaijan,2020-07-14,25113,16150,319,543,Azerbaijan,AZE
Ghana,2020-07-14,24988,21067,139,0,Ghana,GHA
Japan,2020-07-14,22437,18126,984,312,Japan,JPN
Algeria,2020-07-14,20216,14295,1028,527,Algeria,DZA
Moldova,2020-07-14,19708,13033,655,269,Moldova,MDA
Austria,2020-07-14,19021,17073,709,73,Austria,AUT
Serbia,2020-07-14,18983,13991,418,344,Serbia,SRB
Nepal,2020-07-14,17061,10328,38,116,Nepal,NPL
Morocco,2020-07-14,16097,13442,257,161,Morocco,MAR
Cameroon,2020-07-14,15173,0,359,0,Cameroon,CMR
Uzbekistan,2020-07-14,14085,8327,67,494,Uzbekistan,UZB
"Korea, South",2020-07-14,13551,12348,289,39,NA,NA
Czechia,2020-07-14,13341,0,355,103,Czech Republic,CZE
Denmark,2020-07-14,13262,12361,610,24,Denmark,DNK
Cote d'Ivoire,2020-07-14,13037,6908,87,165,Cote d'Ivoire,CIV
Kyrgyzstan,2020-07-14,11444,3538,149,0,NA,NA
Kenya,2020-07-14,10791,3017,202,497,Kenya,KEN
Australia,2020-07-14,10487,7928,111,236,Australia,AUS
Sudan,2020-07-14,10417,5579,659,101,Sudan,SDN
El Salvador,2020-07-14,10303,5919,278,325,El Salvador,SLV
Venezuela,2020-07-14,10010,2671,96,303,NA,NA
Norway,2020-07-14,9001,8138,253,17,Norway,NOR
Malaysia,2020-07-14,8729,8524,122,4,Malaysia,MYS
Costa Rica,2020-07-14,8482,2441,37,446,Costa Rica,CRI
North Macedonia,2020-07-14,8332,4468,389,135,"Macedonia, FYR",MKD
Senegal,2020-07-14,8243,5580,150,45,Senegal,SEN
Congo (Kinshasa),2020-07-14,8135,3948,190,60,"Congo, Dem. Rep.",COD
Ethiopia,2020-07-14,7969,2430,139,203,Ethiopia,ETH
Bulgaria,2020-07-14,7645,3663,283,234,Bulgaria,BGR
Finland,2020-07-14,7301,6800,329,6,Finland,FIN
Bosnia and Herzegovina,2020-07-14,6981,3179,226,0,Bosnia and Herzegovina,BIH
West Bank and Gaza,2020-07-14,6764,1084,44,198,West Bank and Gaza,PSE
Haiti,2020-07-14,6727,3022,141,0,Haiti,HTI
Tajikistan,2020-07-14,6643,5332,56,47,Tajikistan,TJK
Guinea,2020-07-14,6200,4951,38,59,Guinea,GIN
Gabon,2020-07-14,6026,3475,46,0,Gabon,GAB
Mauritania,2020-07-14,5518,2664,147,72,Mauritania,MRT
Madagascar,2020-07-14,5343,2646,39,263,Madagascar,MDG
Kosovo,2020-07-14,5118,2370,108,0,Kosovo,XKX
Luxembourg,2020-07-14,5056,4195,111,100,Luxembourg,LUX
Djibouti,2020-07-14,4979,4743,56,2,NA,NA
Central African Republic,2020-07-14,4356,1229,53,35,Central African Republic,CAF
Hungary,2020-07-14,4258,3106,595,11,Hungary,HUN
Greece,2020-07-14,3883,1374,193,57,Greece,GRC
Croatia,2020-07-14,3827,2558,120,52,Croatia,HRV
Albania,2020-07-14,3667,2062,97,96,Albania,ALB
Thailand,2020-07-14,3227,3091,58,7,Thailand,THA
Nicaragua,2020-07-14,3147,2282,99,301,Nicaragua,NIC
Somalia,2020-07-14,3076,1380,93,4,Somalia,SOM
Paraguay,2020-07-14,3074,1308,25,94,Paraguay,PRY
Equatorial Guinea,2020-07-14,3071,842,51,0,Equatorial Guinea,GNQ
Maldives,2020-07-14,2801,2302,14,39,Maldives,MDV
Sri Lanka,2020-07-14,2665,1988,11,19,Sri Lanka,LKA
Malawi,2020-07-14,2497,795,40,67,Malawi,MWI
Lebanon,2020-07-14,2451,1452,37,32,Lebanon,LBN
Cuba,2020-07-14,2432,2275,87,4,NA,NA
Mali,2020-07-14,2423,1748,121,11,Mali,MLI
South Sudan,2020-07-14,2148,333,41,0,NA,NA
Congo (Brazzaville),2020-07-14,2028,589,47,0,"Congo, Rep.",COG
Estonia,2020-07-14,2015,1897,69,1,Estonia,EST
Slovakia,2020-07-14,1908,1493,28,6,NA,NA
Iceland,2020-07-14,1905,1882,10,5,Iceland,ISL
Zambia,2020-07-14,1895,1412,42,0,Zambia,ZMB
Lithuania,2020-07-14,1875,1571,79,1,Lithuania,LTU
Slovenia,2020-07-14,1859,1488,111,10,Slovenia,SVN
Guinea-Bissau,2020-07-14,1842,773,26,0,Guinea-Bissau,GNB
Cabo Verde,2020-07-14,1722,772,19,24,Cabo Verde,CPV
Sierra Leone,2020-07-14,1651,1190,64,9,Sierra Leone,SLE
Libya,2020-07-14,1563,370,42,51,NA,NA
New Zealand,2020-07-14,1547,1498,22,2,New Zealand,NZL
Yemen,2020-07-14,1516,685,429,18,NA,NA
Eswatini,2020-07-14,1434,695,20,45,Swaziland,SWZ
Rwanda,2020-07-14,1416,737,4,38,Rwanda,RWA
Benin,2020-07-14,1378,557,26,0,Benin,BEN
Tunisia,2020-07-14,1306,1087,50,4,Tunisia,TUN
Montenegro,2020-07-14,1287,330,24,0,Montenegro,MNE
Mozambique,2020-07-14,1268,0,9,49,Mozambique,MOZ
Jordan,2020-07-14,1198,1013,10,15,Jordan,JOR
Latvia,2020-07-14,1174,1022,31,0,Latvia,LVA
Niger,2020-07-14,1099,992,68,0,Niger,NER
Zimbabwe,2020-07-14,1064,343,20,30,Zimbabwe,ZWE
Uganda,2020-07-14,1040,984,0,11,Uganda,UGA
Burkina Faso,2020-07-14,1037,873,53,1,Burkina Faso,BFA
Liberia,2020-07-14,1024,439,51,0,Liberia,LBR
Cyprus,2020-07-14,1023,839,19,1,Cyprus,CYP
Georgia,2020-07-14,999,870,15,4,Georgia,GEO
Uruguay,2020-07-14,997,905,31,8,Uruguay,URY
