date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-05-21,5102217,334128,1893451,106334
2020-05-22,5209117,339412,2001111,106900
2020-05-23,5308100,343401,2055353,98983
2020-05-24,5403426,346541,2110029,95326
2020-05-25,5490389,347719,2172974,86963
2020-05-26,5582911,351922,2227268,92522
2020-05-27,5685511,357135,2289661,102600
2020-05-28,5803600,361847,2355704,118089
2020-05-29,5924710,366580,2430715,121110
2020-05-30,6053355,370735,2500281,128645
2020-05-31,6160245,373599,2575877,106890
2020-06-01,6256496,376684,2629743,96251
2020-06-02,6377175,381518,2733136,120679
2020-06-03,6496384,387097,2811418,119209
2020-06-04,6623086,392246,2880675,126702
2020-06-05,6755727,397069,2947990,132641
2020-06-06,6881533,400890,3019151,125806
2020-06-07,6993973,403639,3073501,112440
2020-06-08,7097413,407395,3224307,103440
2020-06-09,7220396,412253,3305682,122983
2020-06-10,7354176,417463,3383615,133780
2020-06-11,7492364,422248,3468527,138188
2020-06-12,7621346,426545,3547290,128982
2020-06-13,7755445,430797,3632401,134099
2020-06-14,7888575,434143,3702352,133130
2020-06-15,8010360,437647,3780947,121785
2020-06-16,8149939,444439,3878280,139579
2020-06-17,8325831,449710,3995644,175892
2020-06-18,8464706,454721,4076229,138875
2020-06-19,8645640,460990,4168688,180934
2020-06-20,8803905,465260,4283842,158265
2020-06-21,8934808,469317,4352081,130903
2020-06-22,9072667,472888,4443245,137859
2020-06-23,9238013,478203,4546801,165346
2020-06-24,9405649,483377,4659757,167636
2020-06-25,9583608,489928,4752159,177959
2020-06-26,9774609,494773,4858453,191001
2020-06-27,9952423,499291,4964476,177814
2020-06-28,10118211,502451,5053239,165788
2020-06-29,10273510,506076,5147101,155299
2020-06-30,10447879,511268,5264040,174369
2020-07-01,10664230,516255,5379645,216351
2020-07-02,10872003,521366,5664013,207773
2020-07-03,11076238,526426,5773456,204235
2020-07-04,11269327,530780,5968887,193089
2020-07-05,11452196,534280,6088048,182869
2020-07-06,11620096,538058,6211269,167900
2020-07-07,11829602,544163,6354557,209506
2020-07-08,12041480,549468,6511962,211878
2020-07-09,12268518,554924,6646068,227038
2020-07-10,12499631,560218,6785010,231113
2020-07-11,12717908,565138,6910043,218277
2020-07-12,12910357,569128,7021496,192449
2020-07-13,13104391,573003,7161340,194034
2020-07-14,13324057,578646,7303038,219666
2020-07-15,13555532,584132,7462392,231475
2020-07-16,13805296,589911,7612366,249764
