country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
USA,2020-07-16,3576157,1090645,138358,77255,United States,USA
Brazil,2020-07-16,2012151,1397531,76688,45403,Brazil,BRA
India,2020-07-16,1003832,635757,25602,34975,India,IND
Russia,2020-07-16,751612,530801,11920,6415,NA,NA
Peru,2020-07-16,341586,230994,12615,3835,Peru,PER
South Africa,2020-07-16,324221,165591,4669,13172,South Africa,ZAF
Mexico,2020-07-16,324041,257681,37574,6406,Mexico,MEX
Chile,2020-07-16,323698,295301,7290,2493,Chile,CHL
United Kingdom,2020-07-16,294116,1403,45204,647,United Kingdom,GBR
Iran,2020-07-16,267061,230608,13608,2500,NA,NA
Spain,2020-07-16,258855,150376,28416,1361,Spain,ESP
Pakistan,2020-07-16,257914,178737,5426,0,Pakistan,PAK
Italy,2020-07-16,243736,196246,35017,230,Italy,ITA
Saudi Arabia,2020-07-16,243238,187622,2370,2764,Saudi Arabia,SAU
Turkey,2020-07-16,216873,198820,5440,933,Turkey,TUR
France,2020-07-16,211102,79161,30141,534,France,FRA
Germany,2020-07-16,201450,186400,9087,560,Germany,DEU
Bangladesh,2020-07-16,196323,106963,2496,2733,Bangladesh,BGD
Colombia,2020-07-16,165169,71736,6164,5271,Colombia,COL
Argentina,2020-07-16,114783,49120,2112,3637,Argentina,ARG
Canada,2020-07-16,111144,0,8875,451,Canada,CAN
Qatar,2020-07-16,105477,102168,152,494,Qatar,QAT
Iraq,2020-07-16,86148,54316,3522,2281,Iraq,IRQ
Egypt,2020-07-16,85771,26691,4120,928,NA,NA
China,2020-07-16,85314,78241,4644,68,China,CHN
Indonesia,2020-07-16,81668,40345,3873,1574,Indonesia,IDN
Sweden,2020-07-16,76877,0,5593,385,Sweden,SWE
Ecuador,2020-07-16,71365,31260,5207,1036,Ecuador,ECU
Kazakhstan,2020-07-16,66895,40256,375,1707,Kazakhstan,KAZ
Belarus,2020-07-16,65623,56915,485,180,Belarus,BLR
Belgium,2020-07-16,63238,17253,9795,366,Belgium,BEL
Oman,2020-07-16,62574,40090,290,1327,Oman,OMN
Philippines,2020-07-16,61266,21440,1643,2416,Philippines,PHL
Kuwait,2020-07-16,57668,47545,402,791,Kuwait,KWT
Ukraine,2020-07-16,57640,29822,1462,861,Ukraine,UKR
United Arab Emirates,2020-07-16,56129,47412,335,281,United Arab Emirates,ARE
Bolivia,2020-07-16,54156,16979,1984,1938,Bolivia,BOL
Netherlands,2020-07-16,51572,194,6156,101,Netherlands,NLD
Panama,2020-07-16,50373,25842,1000,1130,Panama,PAN
Dominican Republic,2020-07-16,48743,23636,941,1072,Dominican Republic,DOM
Portugal,2020-07-16,47765,32476,1679,339,Portugal,PRT
