country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Benin,2020-07-08,1199,333,21,0,Benin,BEN
Rwanda,2020-07-08,1194,610,3,22,Rwanda,RWA
Jordan,2020-07-08,1169,977,10,0,Jordan,JOR
Latvia,2020-07-08,1141,1008,30,7,Latvia,LVA
Eswatini,2020-07-08,1138,588,14,82,Swaziland,SWZ
Niger,2020-07-08,1097,976,68,3,Niger,NER
Mozambique,2020-07-08,1071,0,8,31,Mozambique,MOZ
Cyprus,2020-07-08,1008,839,19,3,Cyprus,CYP
Burkina Faso,2020-07-08,1003,861,53,0,Burkina Faso,BFA
Uganda,2020-07-08,977,904,0,6,Uganda,UGA
Uruguay,2020-07-08,974,871,29,9,Uruguay,URY
Georgia,2020-07-08,963,841,15,5,Georgia,GEO
Montenegro,2020-07-08,960,320,17,53,Montenegro,MNE
Liberia,2020-07-08,926,395,41,9,Liberia,LBR
Zimbabwe,2020-07-08,885,206,9,98,Zimbabwe,ZWE
Chad,2020-07-08,873,788,74,0,Chad,TCD
Andorra,2020-07-08,855,802,52,0,Andorra,AND
Jamaica,2020-07-08,751,600,10,6,Jamaica,JAM
Sao Tome and Principe,2020-07-08,724,283,13,0,Sao Tome and Principe,STP
San Marino,2020-07-08,698,656,42,0,San Marino,SMR
Togo,2020-07-08,695,475,15,6,Togo,TGO
Malta,2020-07-08,673,654,9,0,Malta,MLT
Suriname,2020-07-08,665,434,17,31,Suriname,SUR
Namibia,2020-07-08,593,25,0,54,Namibia,NAM
Tanzania,2020-07-08,509,183,21,0,Tanzania,TZA
Taiwan*,2020-07-08,449,438,7,0,NA,NA
Angola,2020-07-08,386,117,21,0,Angola,AGO
Syria,2020-07-08,372,0,14,0,NA,NA
Vietnam,2020-07-08,369,347,0,0,Vietnam,VNM
Mauritius,2020-07-08,342,330,10,0,Mauritius,MUS
Burma,2020-07-08,317,250,6,1,NA,NA
Botswana,2020-07-08,314,31,1,0,Botswana,BWA
Comoros,2020-07-08,313,272,7,2,Comoros,COM
Guyana,2020-07-08,284,125,16,0,Guyana,GUY
Mongolia,2020-07-08,227,197,0,0,Mongolia,MNG
Eritrea,2020-07-08,215,56,0,0,NA,NA
Burundi,2020-07-08,191,118,1,0,Burundi,BDI
Brunei,2020-07-08,141,138,3,0,NA,NA
Cambodia,2020-07-08,141,131,0,0,Cambodia,KHM
Trinidad and Tobago,2020-07-08,133,117,8,0,Trinidad and Tobago,TTO
Monaco,2020-07-08,108,95,4,0,NA,NA
Bahamas,2020-07-08,106,89,11,2,"Bahamas, The",BHS
Barbados,2020-07-08,98,90,7,0,Barbados,BRB
Lesotho,2020-07-08,91,11,0,0,Lesotho,LSO
Seychelles,2020-07-08,91,11,0,10,Seychelles,SYC
Liechtenstein,2020-07-08,84,81,1,0,NA,NA
Bhutan,2020-07-08,80,55,0,0,Bhutan,BTN
Antigua and Barbuda,2020-07-08,70,23,3,0,Antigua and Barbuda,ATG
Gambia,2020-07-08,61,27,3,0,"Gambia, The",GMB
Belize,2020-07-08,30,19,2,0,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-08,29,29,0,0,NA,NA
Timor-Leste,2020-07-08,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-08,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-08,22,19,0,0,NA,NA
Fiji,2020-07-08,21,18,0,0,Fiji,FJI
Laos,2020-07-08,19,0,0,0,NA,NA
Dominica,2020-07-08,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-08,16,15,0,0,NA,NA
Holy See,2020-07-08,12,12,0,0,NA,NA
Papua New Guinea,2020-07-08,11,8,0,0,Papua New Guinea,PNG
Western Sahara,2020-07-08,10,8,1,0,NA,NA
