country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-08,33594,20700,936,210
Albania,2020-07-08,3106,1791,83,68
Algeria,2020-07-08,17348,12329,978,469
Andorra,2020-07-08,855,802,52,0
Angola,2020-07-08,386,117,21,0
Antigua and Barbuda,2020-07-08,70,23,3,0
Argentina,2020-07-08,87030,36502,1694,3604
Armenia,2020-07-08,29820,17427,521,535
Australia,2020-07-08,9056,7573,106,170
Austria,2020-07-08,18513,16721,706,92
Azerbaijan,2020-07-08,21916,13100,274,542
Bahamas,2020-07-08,106,89,11,2
Bahrain,2020-07-08,30931,26073,98,610
Bangladesh,2020-07-08,172134,80838,2197,3489
Barbados,2020-07-08,98,90,7,0
Belarus,2020-07-08,64224,52854,443,221
Belgium,2020-07-08,62123,17138,9776,65
Belize,2020-07-08,30,19,2,0
Benin,2020-07-08,1199,333,21,0
Bhutan,2020-07-08,80,55,0,0
Bolivia,2020-07-08,42984,12883,1577,1439
Bosnia and Herzegovina,2020-07-08,5869,2769,209,248
Botswana,2020-07-08,314,31,1,0
Brazil,2020-07-08,1713160,1139844,67964,44571
Brunei,2020-07-08,141,138,3,0
Bulgaria,2020-07-08,6342,3166,259,240
Burkina Faso,2020-07-08,1003,861,53,0
Burma,2020-07-08,317,250,6,1
Burundi,2020-07-08,191,118,1,0
Cabo Verde,2020-07-08,1542,730,18,43
Cambodia,2020-07-08,141,131,0,0
Cameroon,2020-07-08,14916,0,359,0
Canada,2020-07-08,108334,0,8786,311
Central African Republic,2020-07-08,4109,1050,52,38
Chad,2020-07-08,873,788,74,0
Chile,2020-07-08,303083,271741,6573,2064
China,2020-07-08,84950,76742,4641,33
Colombia,2020-07-08,124494,51861,4606,4213
Comoros,2020-07-08,313,272,7,2
Congo (Brazzaville),2020-07-08,1821,525,47,264
Congo (Kinshasa),2020-07-08,7432,3226,182,0
Costa Rica,2020-07-08,5836,1929,25,350
Cote d'Ivoire,2020-07-08,11504,5571,78,310
Croatia,2020-07-08,3325,2277,114,53
Cuba,2020-07-08,2399,2242,86,4
Cyprus,2020-07-08,1008,839,19,3
Czechia,2020-07-08,12814,0,351,129
Denmark,2020-07-08,13101,12202,609,12
Djibouti,2020-07-08,4889,4644,55,11
Dominica,2020-07-08,18,18,0,0
Dominican Republic,2020-07-08,39588,20056,829,1158
Ecuador,2020-07-08,63245,29071,4873,0
Egypt,2020-07-08,78304,22241,3564,1025
El Salvador,2020-07-08,8566,5133,235,259
Equatorial Guinea,2020-07-08,3071,842,51,0
Eritrea,2020-07-08,215,56,0,0
Estonia,2020-07-08,2003,1882,69,8
Eswatini,2020-07-08,1138,588,14,82
Ethiopia,2020-07-08,6774,2430,120,928
Fiji,2020-07-08,21,18,0,0
Finland,2020-07-08,7265,6800,329,3
France,2020-07-08,206072,77780,29936,0
Gabon,2020-07-08,5871,2682,46,128
Gambia,2020-07-08,61,27,3,0
Georgia,2020-07-08,963,841,15,5
Germany,2020-07-08,198699,183153,9046,356
Ghana,2020-07-08,22822,17564,129,854
Greece,2020-07-08,3622,1374,193,33
Grenada,2020-07-08,23,0,0,0
Guatemala,2020-07-08,25411,3718,1053,624
Guinea,2020-07-08,5697,4577,34,61
Guinea-Bissau,2020-07-08,1790,760,25,0
Guyana,2020-07-08,284,125,16,0
Haiti,2020-07-08,6486,2181,123,54
Holy See,2020-07-08,12,12,0,0
Honduras,2020-07-08,25978,2721,694,550
Hungary,2020-07-08,4210,2885,589,5
Iceland,2020-07-08,1880,1850,10,7
India,2020-07-08,767296,476378,21129,24879
Indonesia,2020-07-08,68079,31585,3359,1853
