date,state,fips,measure,data_quality_grade,positive tests,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,pos_test_7da
2020-07-04,AL,01,positive,B,42862,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,AR,05,positive,A,23209,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,AZ,04,positive,A+,94553,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,CA,06,positive,B,254745,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,CO,08,positive,A,33619,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,CT,09,positive,B,46717,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,DC,11,positive,A+,10447,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,DE,10,positive,A+,11996,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,FL,12,positive,A,190052,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,GA,13,positive,A,93319,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,HI,15,positive,D,975,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,IA,19,positive,A+,31041,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,ID,16,positive,A,6994,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,IL,17,positive,A,147734,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,IN,18,positive,A+,47432,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,KS,20,positive,A,15919,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,KY,21,positive,B,16376,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,LA,22,positive,B,63289,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MA,25,positive,A+,109838,4,114,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MD,24,positive,A,69341,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,ME,23,positive,A+,3397,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MI,26,positive,A+,72581,4,125,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MN,27,positive,A,37624,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MO,29,positive,B,23215,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MS,28,positive,A,30674,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,MT,30,positive,C,1167,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NC,37,positive,A,71654,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,ND,38,positive,D,3779,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NE,31,positive,B,19660,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NH,33,positive,B,5857,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NJ,34,positive,A+,173033,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NM,35,positive,B,12776,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NV,32,positive,A+,21575,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,NY,36,positive,A,396598,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,OH,39,positive,B,56183,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,OK,40,positive,A+,15645,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,OR,41,positive,A+,9930,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,PA,42,positive,A+,89375,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,RI,44,positive,A+,16991,4,125,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,SC,45,positive,A,43386,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,SD,46,positive,B,7028,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,TN,47,positive,B,50140,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,TX,48,positive,B,191790,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,UT,49,positive,A+,24542,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,VA,51,positive,A+,65109,4,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,VT,50,positive,B,1238,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,WA,53,positive,B,34778,4,164,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,WI,55,positive,A+,34207,4,122,2020,27,2020-06-28,Jul,7,2020-06-01,NA
