country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Nigeria,2020-07-09,30748,12546,689,499
North Macedonia,2020-07-09,7572,3624,362,166
Norway,2020-07-09,8965,8138,252,15
Oman,2020-07-09,51725,33021,236,1518
Pakistan,2020-07-09,243599,149092,5058,2751
Panama,2020-07-09,42216,20437,839,965
Papua New Guinea,2020-07-09,11,8,0,0
Paraguay,2020-07-09,2638,1229,20,84
Peru,2020-07-09,316448,207802,11314,3537
Philippines,2020-07-09,51754,12813,1314,1395
Poland,2020-07-09,36951,25477,1551,262
Portugal,2020-07-09,45277,30049,1644,418
Qatar,2020-07-09,102110,97272,142,557
Romania,2020-07-09,30789,20969,1834,614
Russia,2020-07-09,706240,480494,10826,6491
Rwanda,2020-07-09,1210,623,3,16
Saint Kitts and Nevis,2020-07-09,16,15,0,0
Saint Lucia,2020-07-09,22,19,0,0
Saint Vincent and the Grenadines,2020-07-09,29,29,0,0
San Marino,2020-07-09,699,656,42,1
Sao Tome and Principe,2020-07-09,726,283,14,2
Saudi Arabia,2020-07-09,223327,161096,2100,3183
Senegal,2020-07-09,7784,5169,143,127
Serbia,2020-07-09,17342,13651,352,266
Seychelles,2020-07-09,94,11,0,3
Sierra Leone,2020-07-09,1598,1123,63,14
Singapore,2020-07-09,45423,41645,26,125
Slovakia,2020-07-09,1851,1477,28,53
Slovenia,2020-07-09,1776,1429,111,13
Somalia,2020-07-09,3038,1209,92,10
South Africa,2020-07-09,238339,113061,3720,13674
South Sudan,2020-07-09,2021,333,38,0
Spain,2020-07-09,253056,150376,28401,543
Sri Lanka,2020-07-09,2154,1979,11,60
Sudan,2020-07-09,10158,5200,641,74
Suriname,2020-07-09,694,456,17,29
Sweden,2020-07-09,74333,0,5500,475
Switzerland,2020-07-09,32586,29400,1966,88
Syria,2020-07-09,372,0,14,0
Taiwan*,2020-07-09,449,438,7,0
Tajikistan,2020-07-09,6410,0,54,46
Tanzania,2020-07-09,509,183,21,0
Thailand,2020-07-09,3202,3085,58,5
Timor-Leste,2020-07-09,24,0,0,0
Togo,2020-07-09,704,483,15,9
Trinidad and Tobago,2020-07-09,133,120,8,0
Tunisia,2020-07-09,1231,1055,50,10
Turkey,2020-07-09,209962,190390,5300,1024
Uganda,2020-07-09,1000,908,0,23
Ukraine,2020-07-09,52285,24606,1344,828
United Arab Emirates,2020-07-09,53577,43570,328,532
United Kingdom,2020-07-09,289154,1367,44687,643
Uruguay,2020-07-09,977,878,29,3
USA,2020-07-09,3117946,969111,133290,63247
Uzbekistan,2020-07-09,11564,7287,51,472
Venezuela,2020-07-09,8372,2544,80,364
Vietnam,2020-07-09,369,347,0,0
West Bank and Gaza,2020-07-09,5220,525,24,191
Western Sahara,2020-07-09,10,8,1,0
Yemen,2020-07-09,1356,0,361,38
Zambia,2020-07-09,1895,1348,42,0
Zimbabwe,2020-07-09,885,206,9,0
