country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Togo,2020-07-09,704,483,15,9,Togo,TGO
San Marino,2020-07-09,699,656,42,1,San Marino,SMR
Suriname,2020-07-09,694,456,17,29,Suriname,SUR
Malta,2020-07-09,674,656,9,1,Malta,MLT
Namibia,2020-07-09,615,25,0,22,Namibia,NAM
Tanzania,2020-07-09,509,183,21,0,Tanzania,TZA
Taiwan*,2020-07-09,449,438,7,0,NA,NA
Angola,2020-07-09,396,117,22,10,Angola,AGO
Syria,2020-07-09,372,0,14,0,NA,NA
Vietnam,2020-07-09,369,347,0,0,Vietnam,VNM
Mauritius,2020-07-09,342,330,10,0,Mauritius,MUS
Burma,2020-07-09,321,254,6,4,NA,NA
Botswana,2020-07-09,314,31,1,0,Botswana,BWA
Comoros,2020-07-09,314,272,7,1,Comoros,COM
Guyana,2020-07-09,286,125,16,2,Guyana,GUY
Eritrea,2020-07-09,232,107,0,17,NA,NA
Mongolia,2020-07-09,227,197,0,0,Mongolia,MNG
Burundi,2020-07-09,191,118,1,0,Burundi,BDI
Brunei,2020-07-09,141,138,3,0,NA,NA
Cambodia,2020-07-09,141,131,0,0,Cambodia,KHM
Lesotho,2020-07-09,134,20,1,43,Lesotho,LSO
Trinidad and Tobago,2020-07-09,133,120,8,0,Trinidad and Tobago,TTO
Monaco,2020-07-09,108,96,4,0,NA,NA
Bahamas,2020-07-09,107,89,11,1,"Bahamas, The",BHS
Barbados,2020-07-09,98,90,7,0,Barbados,BRB
Seychelles,2020-07-09,94,11,0,3,Seychelles,SYC
Liechtenstein,2020-07-09,84,81,1,0,NA,NA
Bhutan,2020-07-09,80,55,0,0,Bhutan,BTN
Antigua and Barbuda,2020-07-09,73,57,3,3,Antigua and Barbuda,ATG
Gambia,2020-07-09,63,32,3,2,"Gambia, The",GMB
Belize,2020-07-09,30,19,2,0,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-09,29,29,0,0,NA,NA
Fiji,2020-07-09,26,18,0,5,Fiji,FJI
Timor-Leste,2020-07-09,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-09,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-09,22,19,0,0,NA,NA
Laos,2020-07-09,19,0,0,0,NA,NA
Dominica,2020-07-09,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-09,16,15,0,0,NA,NA
Holy See,2020-07-09,12,12,0,0,NA,NA
Papua New Guinea,2020-07-09,11,8,0,0,Papua New Guinea,PNG
Western Sahara,2020-07-09,10,8,1,0,NA,NA
