country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
USA,2020-07-09,3117946,969111,133290,63247,United States,USA
Brazil,2020-07-09,1755779,1171447,69184,42619,Brazil,BRA
India,2020-07-09,793802,495513,21604,26506,India,IND
Russia,2020-07-09,706240,480494,10826,6491,NA,NA
Peru,2020-07-09,316448,207802,11314,3537,Peru,PER
Chile,2020-07-09,306216,274922,6682,3133,Chile,CHL
United Kingdom,2020-07-09,289154,1367,44687,643,United Kingdom,GBR
Mexico,2020-07-09,282283,219628,33526,7280,Mexico,MEX
Spain,2020-07-09,253056,150376,28401,543,Spain,ESP
Iran,2020-07-09,250458,212176,12305,2079,NA,NA
Pakistan,2020-07-09,243599,149092,5058,2751,Pakistan,PAK
Italy,2020-07-09,242363,193978,34926,214,Italy,ITA
South Africa,2020-07-09,238339,113061,3720,13674,South Africa,ZAF
Saudi Arabia,2020-07-09,223327,161096,2100,3183,Saudi Arabia,SAU
Turkey,2020-07-09,209962,190390,5300,1024,Turkey,TUR
France,2020-07-09,207356,78295,29982,1284,France,FRA
Germany,2020-07-09,199001,183728,9057,302,Germany,DEU
Bangladesh,2020-07-09,175494,84544,2238,3360,Bangladesh,BGD
Colombia,2020-07-09,128638,53634,4791,4144,Colombia,COL
Canada,2020-07-09,108656,0,8797,322,Canada,CAN
Qatar,2020-07-09,102110,97272,142,557,Qatar,QAT
Argentina,2020-07-09,90693,38313,1720,3663,Argentina,ARG
China,2020-07-09,84992,76742,4641,42,China,CHN
Egypt,2020-07-09,79254,22753,3617,950,NA,NA
Sweden,2020-07-09,74333,0,5500,475,Sweden,SWE
Indonesia,2020-07-09,70736,32651,3417,2657,Indonesia,IDN
Iraq,2020-07-09,69612,39502,2882,2170,Iraq,IRQ
Belarus,2020-07-09,64411,53609,449,187,Belarus,BLR
Ecuador,2020-07-09,64221,29184,4900,976,Ecuador,ECU
Belgium,2020-07-09,62210,17159,9778,87,Belgium,BEL
Kazakhstan,2020-07-09,54747,35137,264,3688,Kazakhstan,KAZ
United Arab Emirates,2020-07-09,53577,43570,328,532,United Arab Emirates,ARE
Kuwait,2020-07-09,52840,42686,382,833,Kuwait,KWT
Ukraine,2020-07-09,52285,24606,1344,828,Ukraine,UKR
Philippines,2020-07-09,51754,12813,1314,1395,Philippines,PHL
Oman,2020-07-09,51725,33021,236,1518,Oman,OMN
Netherlands,2020-07-09,51013,192,6156,54,Netherlands,NLD
Singapore,2020-07-09,45423,41645,26,125,Singapore,SGP
Portugal,2020-07-09,45277,30049,1644,418,Portugal,PRT
Bolivia,2020-07-09,44113,13354,1638,1129,Bolivia,BOL
Panama,2020-07-09,42216,20437,839,965,Panama,PAN
Dominican Republic,2020-07-09,40790,20426,842,1202,Dominican Republic,DOM
Poland,2020-07-09,36951,25477,1551,262,Poland,POL
Israel,2020-07-09,34825,18452,348,1268,Israel,ISR
Afghanistan,2020-07-09,33908,20847,957,314,Afghanistan,AFG
Switzerland,2020-07-09,32586,29400,1966,88,Switzerland,CHE
Bahrain,2020-07-09,31528,26520,103,597,Bahrain,BHR
Romania,2020-07-09,30789,20969,1834,614,Romania,ROU
Nigeria,2020-07-09,30748,12546,689,499,Nigeria,NGA
Armenia,2020-07-09,30346,18000,535,526,Armenia,ARM
Guatemala,2020-07-09,26658,3797,1092,1247,Guatemala,GTM
Honduras,2020-07-09,26384,2779,704,406,Honduras,HND
Ireland,2020-07-09,25565,23364,1743,23,Ireland,IRL
Ghana,2020-07-09,23463,18622,129,641,Ghana,GHA
Azerbaijan,2020-07-09,22464,13591,284,548,Azerbaijan,AZE
Japan,2020-07-09,20617,17412,982,356,Japan,JPN
Moldova,2020-07-09,18666,11936,624,195,Moldova,MDA
Austria,2020-07-09,18615,16758,706,102,Austria,AUT
Algeria,2020-07-09,17808,12637,988,460,Algeria,DZA
Serbia,2020-07-09,17342,13651,352,266,Serbia,SRB
Nepal,2020-07-09,16531,7891,35,108,Nepal,NPL
Morocco,2020-07-09,15079,11447,242,308,Morocco,MAR
Cameroon,2020-07-09,14916,0,359,0,Cameroon,CMR
"Korea, South",2020-07-09,13338,12065,288,45,NA,NA
Denmark,2020-07-09,13117,12246,609,16,Denmark,DNK
Czechia,2020-07-09,12919,0,352,105,Czech Republic,CZE
Cote d'Ivoire,2020-07-09,11750,5752,79,246,Cote d'Ivoire,CIV
Uzbekistan,2020-07-09,11564,7287,51,472,Uzbekistan,UZB
Sudan,2020-07-09,10158,5200,641,74,Sudan,SDN
Australia,2020-07-09,9374,7576,106,318,Australia,AUS
Kyrgyzstan,2020-07-09,9358,3134,122,511,NA,NA
Kenya,2020-07-09,8975,2657,173,447,Kenya,KEN
Norway,2020-07-09,8965,8138,252,15,Norway,NOR
El Salvador,2020-07-09,8844,5289,243,278,El Salvador,SLV
Malaysia,2020-07-09,8683,8499,121,6,Malaysia,MYS
Venezuela,2020-07-09,8372,2544,80,364,NA,NA
Congo (Kinshasa),2020-07-09,7846,3513,189,414,"Congo, Dem. Rep.",COD
Senegal,2020-07-09,7784,5169,143,127,Senegal,SEN
North Macedonia,2020-07-09,7572,3624,362,166,"Macedonia, FYR",MKD
Finland,2020-07-09,7273,6800,329,8,Finland,FIN
Ethiopia,2020-07-09,6973,2430,120,199,Ethiopia,ETH
Bulgaria,2020-07-09,6672,3229,262,330,Bulgaria,BGR
Haiti,2020-07-09,6486,2181,123,0,Haiti,HTI
Costa Rica,2020-07-09,6485,2023,25,649,Costa Rica,CRI
Tajikistan,2020-07-09,6410,0,54,46,Tajikistan,TJK
Bosnia and Herzegovina,2020-07-09,6086,2815,214,217,Bosnia and Herzegovina,BIH
Guinea,2020-07-09,5881,4672,36,184,Guinea,GIN
Gabon,2020-07-09,5871,2682,46,0,Gabon,GAB
West Bank and Gaza,2020-07-09,5220,525,24,191,West Bank and Gaza,PSE
Mauritania,2020-07-09,5126,2026,144,39,Mauritania,MRT
Djibouti,2020-07-09,4955,4671,56,66,NA,NA
Luxembourg,2020-07-09,4719,4056,110,69,Luxembourg,LUX
Hungary,2020-07-09,4220,2887,591,10,Hungary,HUN
Central African Republic,2020-07-09,4200,1142,52,91,Central African Republic,CAF
Kosovo,2020-07-09,4100,2063,86,214,Kosovo,XKX
Madagascar,2020-07-09,3782,1950,33,209,Madagascar,MDG
Greece,2020-07-09,3672,1374,193,50,Greece,GRC
Croatia,2020-07-09,3416,2323,115,91,Croatia,HRV
Thailand,2020-07-09,3202,3085,58,5,Thailand,THA
Albania,2020-07-09,3188,1832,83,82,Albania,ALB
Equatorial Guinea,2020-07-09,3071,842,51,0,Equatorial Guinea,GNQ
Somalia,2020-07-09,3038,1209,92,10,Somalia,SOM
Nicaragua,2020-07-09,2846,1993,91,0,Nicaragua,NIC
Paraguay,2020-07-09,2638,1229,20,84,Paraguay,PRY
Maldives,2020-07-09,2553,2227,13,36,Maldives,MDV
Cuba,2020-07-09,2403,2244,86,4,NA,NA
Mali,2020-07-09,2370,1621,120,12,Mali,MLI
Sri Lanka,2020-07-09,2154,1979,11,60,Sri Lanka,LKA
South Sudan,2020-07-09,2021,333,38,0,NA,NA
Estonia,2020-07-09,2011,1889,69,8,Estonia,EST
Lebanon,2020-07-09,2011,1368,36,65,Lebanon,LBN
Malawi,2020-07-09,1942,369,25,78,Malawi,MWI
Zambia,2020-07-09,1895,1348,42,0,Zambia,ZMB
Iceland,2020-07-09,1882,1854,10,2,Iceland,ISL
Lithuania,2020-07-09,1857,1564,79,3,Lithuania,LTU
Slovakia,2020-07-09,1851,1477,28,53,NA,NA
Congo (Brazzaville),2020-07-09,1821,525,47,0,"Congo, Rep.",COG
Guinea-Bissau,2020-07-09,1790,760,25,0,Guinea-Bissau,GNB
Slovenia,2020-07-09,1776,1429,111,13,Slovenia,SVN
Sierra Leone,2020-07-09,1598,1123,63,14,Sierra Leone,SLE
Cabo Verde,2020-07-09,1552,730,18,10,Cabo Verde,CPV
New Zealand,2020-07-09,1542,1497,22,2,New Zealand,NZL
Yemen,2020-07-09,1356,0,361,38,NA,NA
Libya,2020-07-09,1342,307,38,74,NA,NA
Benin,2020-07-09,1285,333,23,86,Benin,BEN
Tunisia,2020-07-09,1231,1055,50,10,Tunisia,TUN
Eswatini,2020-07-09,1213,609,17,75,Swaziland,SWZ
Rwanda,2020-07-09,1210,623,3,16,Rwanda,RWA
Jordan,2020-07-09,1169,982,10,0,Jordan,JOR
Latvia,2020-07-09,1154,1019,30,13,Latvia,LVA
Niger,2020-07-09,1097,976,68,0,Niger,NER
Mozambique,2020-07-09,1092,0,9,21,Mozambique,MOZ
Montenegro,2020-07-09,1019,320,19,59,Montenegro,MNE
Cyprus,2020-07-09,1010,839,19,2,Cyprus,CYP
Burkina Faso,2020-07-09,1005,862,53,2,Burkina Faso,BFA
Uganda,2020-07-09,1000,908,0,23,Uganda,UGA
Uruguay,2020-07-09,977,878,29,3,Uruguay,URY
Georgia,2020-07-09,968,844,15,5,Georgia,GEO
Liberia,2020-07-09,957,398,42,31,Liberia,LBR
Zimbabwe,2020-07-09,885,206,9,0,Zimbabwe,ZWE
Chad,2020-07-09,873,788,74,0,Chad,TCD
Andorra,2020-07-09,855,802,52,0,Andorra,AND
Jamaica,2020-07-09,753,603,10,2,Jamaica,JAM
Sao Tome and Principe,2020-07-09,726,283,14,2,Sao Tome and Principe,STP
