country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Japan,2020-07-18,24946,19211,986,842,Japan,JPN
Kyrgyzstan,2020-07-18,24606,10704,900,11505,NA,NA
Algeria,2020-07-18,22549,15744,1068,601,Algeria,DZA
Moldova,2020-07-18,20794,14183,680,300,Moldova,MDA
Serbia,2020-07-18,20498,15179,461,389,Serbia,SRB
Austria,2020-07-18,19573,17501,711,134,Austria,AUT
Nepal,2020-07-18,17502,11637,40,57,Nepal,NPL
Morocco,2020-07-18,17015,14620,269,289,Morocco,MAR
Uzbekistan,2020-07-18,16186,9127,83,579,Uzbekistan,UZB
Cameroon,2020-07-18,16157,0,373,0,Cameroon,CMR
Cote d'Ivoire,2020-07-18,13912,8000,91,216,Cote d'Ivoire,CIV
Czechia,2020-07-18,13855,0,358,113,Czech Republic,CZE
"Korea, South",2020-07-18,13745,12556,295,34,NA,NA
Denmark,2020-07-18,13374,12410,611,0,Denmark,DNK
Kenya,2020-07-18,12750,4440,225,688,Kenya,KEN
Australia,2020-07-18,11802,8274,122,361,Australia,AUS
El Salvador,2020-07-18,11508,6560,324,301,El Salvador,SLV
Venezuela,2020-07-18,11483,3972,110,292,NA,NA
Sudan,2020-07-18,10682,5637,673,155,Sudan,SDN
Costa Rica,2020-07-18,10551,2902,54,582,Costa Rica,CRI
Ethiopia,2020-07-18,9147,2430,163,344,Ethiopia,ETH
Norway,2020-07-18,9028,8138,255,3,Norway,NOR
North Macedonia,2020-07-18,9026,4727,414,240,"Macedonia, FYR",MKD
Malaysia,2020-07-18,8764,8546,122,9,Malaysia,MYS
Senegal,2020-07-18,8669,5859,163,125,Senegal,SEN
Bulgaria,2020-07-18,8638,4081,299,196,Bulgaria,BGR
Congo (Kinshasa),2020-07-18,8324,4313,193,75,"Congo, Dem. Rep.",COD
West Bank and Gaza,2020-07-18,8204,1596,59,440,West Bank and Gaza,PSE
Bosnia and Herzegovina,2020-07-18,8161,3648,246,253,Bosnia and Herzegovina,BIH
Finland,2020-07-18,7318,6880,328,17,Finland,FIN
Haiti,2020-07-18,7053,3877,146,78,Haiti,HTI
Madagascar,2020-07-18,6849,3339,55,382,Madagascar,MDG
Tajikistan,2020-07-18,6834,5529,57,48,Tajikistan,TJK
Guinea,2020-07-18,6491,5257,39,61,Guinea,GIN
Gabon,2020-07-18,6315,3865,46,0,Gabon,GAB
Mauritania,2020-07-18,5813,3279,153,103,Mauritania,MRT
Kosovo,2020-07-18,5617,2811,130,145,Kosovo,XKX
Luxembourg,2020-07-18,5483,4333,111,74,Luxembourg,LUX
Djibouti,2020-07-18,5003,4809,56,0,NA,NA
Central African Republic,2020-07-18,4485,1348,55,96,Central African Republic,CAF
Hungary,2020-07-18,4315,3222,596,22,Hungary,HUN
Croatia,2020-07-18,4253,2929,120,116,Croatia,HRV
Albania,2020-07-18,4008,2264,111,102,Albania,ALB
Greece,2020-07-18,3983,1374,194,19,Greece,GRC
Paraguay,2020-07-18,3629,1643,29,172,Paraguay,PRY
Thailand,2020-07-18,3246,3096,58,7,Thailand,THA
Nicaragua,2020-07-18,3147,2282,99,0,Nicaragua,NIC
Somalia,2020-07-18,3111,1452,93,5,Somalia,SOM
Equatorial Guinea,2020-07-18,3071,842,51,0,Equatorial Guinea,GNQ
Zambia,2020-07-18,2980,1462,120,170,Zambia,ZMB
Maldives,2020-07-18,2930,2354,15,17,Maldives,MDV
Malawi,2020-07-18,2810,1111,55,5,Malawi,MWI
Lebanon,2020-07-18,2775,1485,40,75,Lebanon,LBN
Sri Lanka,2020-07-18,2703,2023,11,6,Sri Lanka,LKA
Congo (Brazzaville),2020-07-18,2633,626,49,0,"Congo, Rep.",COG
Mali,2020-07-18,2472,1809,121,5,Mali,MLI
Cuba,2020-07-18,2445,2304,87,1,NA,NA
South Sudan,2020-07-18,2191,1175,43,0,NA,NA
Montenegro,2020-07-18,2072,378,30,107,Montenegro,MNE
Estonia,2020-07-18,2021,1912,69,1,Estonia,EST
Cabo Verde,2020-07-18,2014,913,21,75,Cabo Verde,CPV
Slovakia,2020-07-18,1976,1523,28,11,NA,NA
Guinea-Bissau,2020-07-18,1949,803,26,22,Guinea-Bissau,GNB
Slovenia,2020-07-18,1940,1568,111,24,Slovenia,SVN
Iceland,2020-07-18,1922,1902,10,6,Iceland,ISL
Lithuania,2020-07-18,1915,1600,80,7,Lithuania,LTU
Libya,2020-07-18,1791,385,48,87,NA,NA
Eswatini,2020-07-18,1729,788,21,110,Swaziland,SWZ
Sierra Leone,2020-07-18,1701,1237,65,13,Sierra Leone,SLE
Benin,2020-07-18,1602,782,31,0,Benin,BEN
Yemen,2020-07-18,1581,701,443,5,NA,NA
New Zealand,2020-07-18,1553,1506,22,3,New Zealand,NZL
Rwanda,2020-07-18,1539,819,5,54,Rwanda,RWA
Zimbabwe,2020-07-18,1478,439,25,58,Zimbabwe,ZWE
Mozambique,2020-07-18,1435,0,10,33,Mozambique,MOZ
Tunisia,2020-07-18,1348,1095,50,12,Tunisia,TUN
Jordan,2020-07-18,1214,1022,11,5,Jordan,JOR
Namibia,2020-07-18,1203,32,2,125,Namibia,NAM
Latvia,2020-07-18,1189,1022,31,4,Latvia,LVA
Niger,2020-07-18,1104,1014,69,2,Niger,NER
Liberia,2020-07-18,1088,519,70,3,Liberia,LBR
Uganda,2020-07-18,1062,1023,0,6,Uganda,UGA
Burkina Faso,2020-07-18,1047,887,53,2,Burkina Faso,BFA
Uruguay,2020-07-18,1044,921,33,7,Uruguay,URY
Cyprus,2020-07-18,1037,845,19,4,Cyprus,CYP
Georgia,2020-07-18,1018,895,15,8,Georgia,GEO
Suriname,2020-07-18,1001,610,20,58,Suriname,SUR
Chad,2020-07-18,889,800,75,2,Chad,TCD
Andorra,2020-07-18,880,803,52,0,Andorra,AND
Jamaica,2020-07-18,774,679,10,6,Jamaica,JAM
Togo,2020-07-18,774,548,15,8,Togo,TGO
Sao Tome and Principe,2020-07-18,743,337,14,2,Sao Tome and Principe,STP
San Marino,2020-07-18,699,656,42,0,San Marino,SMR
Angola,2020-07-18,687,210,29,49,Angola,AGO
Malta,2020-07-18,675,662,9,1,Malta,MLT
Botswana,2020-07-18,522,48,1,0,Botswana,BWA
Tanzania,2020-07-18,509,183,21,0,Tanzania,TZA
Syria,2020-07-18,496,0,25,0,NA,NA
Taiwan*,2020-07-18,451,440,7,0,NA,NA
Vietnam,2020-07-18,382,357,0,0,Vietnam,VNM
Lesotho,2020-07-18,359,69,6,48,Lesotho,LSO
Mauritius,2020-07-18,343,331,10,0,Mauritius,MUS
Burma,2020-07-18,340,273,6,1,NA,NA
Comoros,2020-07-18,328,311,7,0,Comoros,COM
Guyana,2020-07-18,327,163,19,7,Guyana,GUY
Burundi,2020-07-18,310,207,1,0,Burundi,BDI
Mongolia,2020-07-18,287,213,0,0,Mongolia,MNG
Eritrea,2020-07-18,251,155,0,0,NA,NA
Cambodia,2020-07-18,171,133,0,0,Cambodia,KHM
Brunei,2020-07-18,141,138,3,0,NA,NA
Bahamas,2020-07-18,138,91,11,9,"Bahamas, The",BHS
Trinidad and Tobago,2020-07-18,137,124,8,1,Trinidad and Tobago,TTO
Monaco,2020-07-18,109,98,4,0,NA,NA
Seychelles,2020-07-18,108,27,0,0,Seychelles,SYC
Barbados,2020-07-18,104,91,7,0,Barbados,BRB
Gambia,2020-07-18,93,49,4,15,"Gambia, The",GMB
Bhutan,2020-07-18,87,78,0,0,Bhutan,BTN
Liechtenstein,2020-07-18,86,81,1,1,NA,NA
Antigua and Barbuda,2020-07-18,76,57,3,0,Antigua and Barbuda,ATG
Belize,2020-07-18,40,22,2,0,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-18,38,29,0,3,NA,NA
Fiji,2020-07-18,26,18,0,0,Fiji,FJI
Timor-Leste,2020-07-18,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-18,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-18,23,19,0,0,NA,NA
Laos,2020-07-18,19,0,0,0,NA,NA
Dominica,2020-07-18,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-18,17,15,0,0,NA,NA
Papua New Guinea,2020-07-18,16,8,0,1,Papua New Guinea,PNG
Holy See,2020-07-18,12,12,0,0,NA,NA
Western Sahara,2020-07-18,10,8,1,0,NA,NA
