country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
USA,2020-07-18,3711413,1122720,140119,63698,United States,USA
Brazil,2020-07-18,2074860,1447408,78772,28532,Brazil,BRA
India,2020-07-18,1077781,677423,26816,38697,India,IND
Russia,2020-07-18,764215,545909,12228,6214,NA,NA
South Africa,2020-07-18,350879,182230,4948,13285,South Africa,ZAF
Peru,2020-07-18,349500,238086,12998,3963,Peru,PER
Mexico,2020-07-18,338913,271239,38888,7615,Mexico,MEX
Chile,2020-07-18,328846,299449,8445,2407,Chile,CHL
United Kingdom,2020-07-18,295632,1413,45358,829,United Kingdom,GBR
Iran,2020-07-18,271606,235300,13979,2166,NA,NA
Pakistan,2020-07-18,263496,204276,5568,1579,Pakistan,PAK
Spain,2020-07-18,260255,150376,28420,0,Spain,ESP
Saudi Arabia,2020-07-18,248416,194218,2447,2565,Saudi Arabia,SAU
Italy,2020-07-18,244216,196806,35042,249,Italy,ITA
Turkey,2020-07-18,218717,201013,5475,918,Turkey,TUR
France,2020-07-18,211943,79371,30155,0,France,FRA
Germany,2020-07-18,202426,187200,9091,381,Germany,DEU
Bangladesh,2020-07-18,202066,110098,2581,2709,Bangladesh,BGD
Colombia,2020-07-18,190700,85836,6516,8560,Colombia,COL
Argentina,2020-07-18,122524,52607,2220,3223,Argentina,ARG
Canada,2020-07-18,111875,0,8892,316,Canada,CAN
Qatar,2020-07-18,106308,103023,154,410,Qatar,QAT
Iraq,2020-07-18,90220,58492,3691,2049,Iraq,IRQ
Egypt,2020-07-18,87172,27868,4251,698,NA,NA
China,2020-07-18,85314,78241,4644,0,China,CHN
Indonesia,2020-07-18,84882,43268,4016,1752,Indonesia,IDN
Sweden,2020-07-18,77281,0,5619,0,Sweden,SWE
Ecuador,2020-07-18,73382,31757,5282,938,Ecuador,ECU
Kazakhstan,2020-07-18,68703,40256,375,0,Kazakhstan,KAZ
Belarus,2020-07-18,65953,57856,495,171,Belarus,BLR
Oman,2020-07-18,65504,42772,308,1311,Oman,OMN
Philippines,2020-07-18,65304,22067,1773,2303,Philippines,PHL
Belgium,2020-07-18,63706,17289,9800,207,Belgium,BEL
Ukraine,2020-07-18,59333,31479,1496,867,Ukraine,UKR
Kuwait,2020-07-18,58904,49020,407,683,Kuwait,KWT
Bolivia,2020-07-18,58138,18200,2106,2036,Bolivia,BOL
United Arab Emirates,2020-07-18,56711,48917,338,289,United Arab Emirates,ARE
Panama,2020-07-18,52261,27494,1071,853,Panama,PAN
Netherlands,2020-07-18,51809,194,6155,127,Netherlands,NLD
Dominican Republic,2020-07-18,51519,24607,971,1406,Dominican Republic,DOM
Israel,2020-07-18,49365,21348,401,1906,Israel,ISR
Portugal,2020-07-18,48390,33153,1684,313,Portugal,PRT
Singapore,2020-07-18,47655,43833,27,202,Singapore,SGP
Poland,2020-07-18,39746,29924,1618,339,Poland,POL
Romania,2020-07-18,36691,22488,2009,889,Romania,ROU
Nigeria,2020-07-18,36107,14938,778,653,Nigeria,NGA
Bahrain,2020-07-18,36004,31765,124,531,Bahrain,BHR
Afghanistan,2020-07-18,35301,23273,1164,72,Afghanistan,AFG
Armenia,2020-07-18,34462,23123,631,461,Armenia,ARM
Guatemala,2020-07-18,33809,4989,1443,0,Guatemala,GTM
Switzerland,2020-07-18,33492,29900,1969,110,Switzerland,CHE
Honduras,2020-07-18,32793,3661,891,1048,Honduras,HND
Azerbaijan,2020-07-18,27133,18450,349,497,Azerbaijan,AZE
Ghana,2020-07-18,27060,23044,145,488,Ghana,GHA
Ireland,2020-07-18,25750,23364,1753,20,Ireland,IRL
