date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-05-21,5102217,334128,1893451,106334
2020-05-22,5209117,339412,2001111,106900
2020-05-23,5308100,343401,2055353,98983
2020-05-24,5403426,346541,2110029,95326
2020-05-25,5490389,347719,2172974,86963
2020-05-26,5582911,351922,2227268,92522
2020-05-27,5685511,357135,2289661,102600
2020-05-28,5804825,361836,2355704,119314
2020-05-29,5925992,366578,2430715,121167
2020-05-30,6054857,370734,2500281,128865
2020-05-31,6162409,373622,2575877,107552
2020-06-01,6257605,376690,2629743,95196
2020-06-02,6378415,381513,2733136,120810
2020-06-03,6497803,387085,2811418,119388
2020-06-04,6624740,392234,2880675,126937
2020-06-05,6755603,397010,2947990,130863
2020-06-06,6882801,400891,3019151,127198
2020-06-07,6995060,403633,3073501,112259
2020-06-08,7097285,407330,3224307,102225
2020-06-09,7221627,412252,3305682,124342
2020-06-10,7355652,417457,3383615,134025
2020-06-11,7493766,422231,3468527,138114
2020-06-12,7622860,426528,3547290,129094
2020-06-13,7757197,430766,3632401,134337
2020-06-14,7890618,434140,3702352,133421
2020-06-15,8010255,437565,3780947,119637
2020-06-16,8151659,444432,3878280,141404
2020-06-17,8327794,449687,3995644,176135
2020-06-18,8467721,454716,4076229,139927
2020-06-19,8648529,460989,4168688,180808
2020-06-20,8806084,465238,4283842,157555
2020-06-21,8934624,469201,4352081,128540
2020-06-22,9072483,472772,4443245,137859
2020-06-23,9237825,478083,4546801,165342
2020-06-24,9409002,483344,4659757,171177
2020-06-25,9586894,489971,4752159,177892
2020-06-26,9778240,494798,4858453,191346
2020-06-27,9956354,499284,4964476,178114
2020-06-28,10117985,502373,5053239,161631
2020-06-29,10276558,506094,5147101,158573
2020-06-30,10450456,511226,5264040,173898
2020-07-01,10668149,516237,5379645,217693
2020-07-02,10875852,521357,5664013,207703
2020-07-03,11079351,526352,5773456,203499
2020-07-04,11272923,530721,5968887,193572
2020-07-05,11455621,534166,6088048,182698
2020-07-06,11622965,537963,6211269,167344
2020-07-07,11833815,544070,6354557,210850
2020-07-08,12045624,549389,6511962,211809
2020-07-09,12273853,554847,6646068,228229
2020-07-10,12506434,560158,6785010,232581
2020-07-11,12722764,565055,6910043,216330
2020-07-12,12915440,569009,7021496,192676
2020-07-13,13108223,572824,7161340,192783
2020-07-14,13329678,578484,7303038,221455
2020-07-15,13560803,583977,7462392,231125
2020-07-16,13813333,589776,7612366,252530
2020-07-17,14055299,596518,7771772,241966
2020-07-18,14288689,602138,7904159,233390
