date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-01-22,555,17,28,NA
2020-01-23,654,18,30,99
2020-01-24,941,26,36,287
2020-01-25,1434,42,39,493
2020-01-26,2118,56,52,684
2020-01-27,2927,82,61,809
2020-01-28,5578,131,107,2651
2020-01-29,6166,133,125,588
2020-01-30,8234,171,141,2068
2020-01-31,9927,213,218,1693
2020-02-01,12038,259,279,2111
2020-02-02,16787,362,456,4749
2020-02-03,19887,426,599,3100
2020-02-04,23898,492,816,4011
2020-02-05,27643,564,1066,3745
2020-02-06,30802,634,1411,3159
2020-02-07,34395,719,1891,3593
2020-02-08,37129,806,2453,2734
2020-02-09,40159,906,3039,3030
2020-02-10,42768,1013,3695,2609
2020-02-11,44810,1113,4397,2042
2020-02-12,45228,1118,4823,418
2020-02-13,60381,1371,5903,15153
2020-02-14,66908,1523,7577,6527
2020-02-15,69050,1666,8860,2142
2020-02-16,71234,1770,10277,2184
2020-02-17,73269,1868,11904,2035
2020-02-18,75151,2008,13636,1882
2020-02-19,75651,2123,15335,500
2020-02-20,76211,2248,17291,560
2020-02-21,76840,2252,17871,629
2020-02-22,78601,2459,21743,1761
2020-02-23,78979,2470,22189,378
2020-02-24,79543,2630,23923,564
2020-02-25,80396,2710,26523,853
2020-02-26,81373,2771,28943,977
2020-02-27,82737,2814,31779,1364
2020-02-28,84114,2873,35160,1377
2020-02-29,86009,2942,38167,1895
2020-03-01,88386,2996,41055,2377
2020-03-02,90360,3085,43927,1974
2020-03-03,92938,3160,46522,2578
2020-03-04,95237,3255,49460,2299
2020-03-05,98028,3348,52078,2791
2020-03-06,101971,3460,54140,3943
2020-03-07,106009,3559,56630,4038
2020-03-08,109960,3803,58962,3951
2020-03-09,113860,3987,60761,3900
2020-03-10,118884,4266,62672,5024
2020-03-11,126547,4611,65268,7663
2020-03-12,132297,4916,66588,5750
2020-03-13,146704,5413,68513,14407
2020-03-14,157795,5830,70881,11091
2020-03-15,168941,6471,74291,11146
2020-03-16,183600,7151,76341,14659
2020-03-17,199444,7955,79093,15844
2020-03-18,219037,8852,81576,19593
2020-03-19,246955,9958,83213,27918
2020-03-20,276564,11436,85657,29609
2020-03-21,308842,13142,89918,32278
2020-03-22,342255,14840,96133,33413
2020-03-23,384420,16757,96598,42165
2020-03-24,425559,19027,106133,41139
2020-03-25,476376,21804,111841,50817
2020-03-26,539336,24811,120205,62960
2020-03-27,603736,28329,128901,64400
2020-03-28,671344,32008,137184,67608
2020-03-29,730921,35481,146648,59577
2020-03-30,795560,39645,162071,64639
2020-03-31,871976,44489,174411,76416
2020-04-01,948197,50043,189748,76221
2020-04-02,1029598,56348,206372,81401
2020-04-03,1112752,62333,221367,83154
2020-04-04,1193128,68174,241369,80376
2020-04-05,1264846,73195,254755,71718
2020-04-06,1337518,79027,271118,72672
2020-04-07,1414391,86929,293890,76873
2020-04-08,1498166,93664,322164,83775
2020-04-09,1584791,101293,346423,86625
2020-04-10,1672449,108565,367464,87658
2020-04-11,1749169,114634,392910,76720
2020-04-12,1845951,120365,411725,96782
2020-04-13,1915545,126112,438201,69594
2020-04-14,1985472,133011,462683,69927
2020-04-15,2066301,141323,498381,80829
2020-04-16,2163013,148606,528323,96712
2020-04-17,2250737,157497,553386,87724
2020-04-18,2324265,163968,576822,73528
2020-04-19,2404790,168538,607389,80525
2020-04-20,2478129,173981,628433,73339
2020-04-21,2553379,181138,662396,75250
2020-04-22,2630185,187893,691253,76806
2020-04-23,2719198,194743,719300,89013
2020-04-24,2806138,201417,768720,86940
2020-04-25,2890259,206995,795515,84121
2020-04-26,2963206,210878,823064,72947
2020-04-27,3031910,215527,849177,68704
2020-04-28,3107209,221990,881239,75299
2020-04-29,3184255,228758,922129,77046
2020-04-30,3267936,234720,985786,83681
2020-05-01,3354984,239897,1022613,87048
2020-05-02,3435571,245222,1062365,80587
2020-05-03,3513207,248675,1093454,77636
2020-05-04,3589284,252803,1126183,76077
2020-05-05,3669273,258674,1161613,79989
2020-05-06,3759295,265343,1206104,90022
2020-05-07,3848381,270752,1244353,89086
2020-05-08,3939898,276320,1279849,91517
2020-05-09,4023533,280585,1332098,83635
2020-05-10,4099779,284151,1364585,76246
2020-05-11,4176020,287624,1410385,76241
2020-05-12,4259619,293171,1446194,83599
2020-05-13,4344371,298399,1500736,84752
2020-05-14,4441476,303667,1539338,97105
2020-05-15,4537825,308882,1586352,96349
2020-05-16,4629638,313053,1641977,91813
2020-05-17,4708147,316382,1682090,78509
2020-05-18,4796431,319673,1734121,88284
2020-05-19,4892855,324457,1785383,96424
2020-05-20,4995883,329342,1843433,103028
