country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-18,35301,23273,1164,72
Albania,2020-07-18,4008,2264,111,102
Algeria,2020-07-18,22549,15744,1068,601
Andorra,2020-07-18,880,803,52,0
Angola,2020-07-18,687,210,29,49
Antigua and Barbuda,2020-07-18,76,57,3,0
Argentina,2020-07-18,122524,52607,2220,3223
Armenia,2020-07-18,34462,23123,631,461
Australia,2020-07-18,11802,8274,122,361
Austria,2020-07-18,19573,17501,711,134
Azerbaijan,2020-07-18,27133,18450,349,497
Bahamas,2020-07-18,138,91,11,9
Bahrain,2020-07-18,36004,31765,124,531
Bangladesh,2020-07-18,202066,110098,2581,2709
Barbados,2020-07-18,104,91,7,0
Belarus,2020-07-18,65953,57856,495,171
Belgium,2020-07-18,63706,17289,9800,207
Belize,2020-07-18,40,22,2,0
Benin,2020-07-18,1602,782,31,0
Bhutan,2020-07-18,87,78,0,0
Bolivia,2020-07-18,58138,18200,2106,2036
Bosnia and Herzegovina,2020-07-18,8161,3648,246,253
Botswana,2020-07-18,522,48,1,0
Brazil,2020-07-18,2074860,1447408,78772,28532
Brunei,2020-07-18,141,138,3,0
Bulgaria,2020-07-18,8638,4081,299,196
Burkina Faso,2020-07-18,1047,887,53,2
Burma,2020-07-18,340,273,6,1
Burundi,2020-07-18,310,207,1,0
Cabo Verde,2020-07-18,2014,913,21,75
Cambodia,2020-07-18,171,133,0,0
Cameroon,2020-07-18,16157,0,373,0
Canada,2020-07-18,111875,0,8892,316
Central African Republic,2020-07-18,4485,1348,55,96
Chad,2020-07-18,889,800,75,2
Chile,2020-07-18,328846,299449,8445,2407
China,2020-07-18,85314,78241,4644,0
Colombia,2020-07-18,190700,85836,6516,8560
Comoros,2020-07-18,328,311,7,0
Congo (Brazzaville),2020-07-18,2633,626,49,0
Congo (Kinshasa),2020-07-18,8324,4313,193,75
Costa Rica,2020-07-18,10551,2902,54,582
Cote d'Ivoire,2020-07-18,13912,8000,91,216
Croatia,2020-07-18,4253,2929,120,116
Cuba,2020-07-18,2445,2304,87,1
Cyprus,2020-07-18,1037,845,19,4
Czechia,2020-07-18,13855,0,358,113
Denmark,2020-07-18,13374,12410,611,0
Djibouti,2020-07-18,5003,4809,56,0
Dominica,2020-07-18,18,18,0,0
Dominican Republic,2020-07-18,51519,24607,971,1406
Ecuador,2020-07-18,73382,31757,5282,938
Egypt,2020-07-18,87172,27868,4251,698
El Salvador,2020-07-18,11508,6560,324,301
Equatorial Guinea,2020-07-18,3071,842,51,0
Eritrea,2020-07-18,251,155,0,0
Estonia,2020-07-18,2021,1912,69,1
Eswatini,2020-07-18,1729,788,21,110
Ethiopia,2020-07-18,9147,2430,163,344
Fiji,2020-07-18,26,18,0,0
Finland,2020-07-18,7318,6880,328,17
France,2020-07-18,211943,79371,30155,0
Gabon,2020-07-18,6315,3865,46,0
Gambia,2020-07-18,93,49,4,15
Georgia,2020-07-18,1018,895,15,8
Germany,2020-07-18,202426,187200,9091,381
Ghana,2020-07-18,27060,23044,145,488
Greece,2020-07-18,3983,1374,194,19
Grenada,2020-07-18,23,0,0,0
Guatemala,2020-07-18,33809,4989,1443,0
Guinea,2020-07-18,6491,5257,39,61
Guinea-Bissau,2020-07-18,1949,803,26,22
Guyana,2020-07-18,327,163,19,7
Haiti,2020-07-18,7053,3877,146,78
Holy See,2020-07-18,12,12,0,0
Honduras,2020-07-18,32793,3661,891,1048
Hungary,2020-07-18,4315,3222,596,22
Iceland,2020-07-18,1922,1902,10,6
India,2020-07-18,1077781,677423,26816,38697
Indonesia,2020-07-18,84882,43268,4016,1752
Iran,2020-07-18,271606,235300,13979,2166
Iraq,2020-07-18,90220,58492,3691,2049
Ireland,2020-07-18,25750,23364,1753,20
Israel,2020-07-18,49365,21348,401,1906
Italy,2020-07-18,244216,196806,35042,249
Jamaica,2020-07-18,774,679,10,6
Japan,2020-07-18,24946,19211,986,842
Jordan,2020-07-18,1214,1022,11,5
Kazakhstan,2020-07-18,68703,40256,375,0
Kenya,2020-07-18,12750,4440,225,688
"Korea, South",2020-07-18,13745,12556,295,34
Kosovo,2020-07-18,5617,2811,130,145
Kuwait,2020-07-18,58904,49020,407,683
Kyrgyzstan,2020-07-18,24606,10704,900,11505
Laos,2020-07-18,19,0,0,0
Latvia,2020-07-18,1189,1022,31,4
Lebanon,2020-07-18,2775,1485,40,75
Lesotho,2020-07-18,359,69,6,48
Liberia,2020-07-18,1088,519,70,3
Libya,2020-07-18,1791,385,48,87
Liechtenstein,2020-07-18,86,81,1,1
Lithuania,2020-07-18,1915,1600,80,7
Luxembourg,2020-07-18,5483,4333,111,74
Madagascar,2020-07-18,6849,3339,55,382
Malawi,2020-07-18,2810,1111,55,5
Malaysia,2020-07-18,8764,8546,122,9
Maldives,2020-07-18,2930,2354,15,17
Mali,2020-07-18,2472,1809,121,5
Malta,2020-07-18,675,662,9,1
Mauritania,2020-07-18,5813,3279,153,103
Mauritius,2020-07-18,343,331,10,0
Mexico,2020-07-18,338913,271239,38888,7615
Moldova,2020-07-18,20794,14183,680,300
Monaco,2020-07-18,109,98,4,0
Mongolia,2020-07-18,287,213,0,0
Montenegro,2020-07-18,2072,378,30,107
Morocco,2020-07-18,17015,14620,269,289
Mozambique,2020-07-18,1435,0,10,33
Namibia,2020-07-18,1203,32,2,125
Nepal,2020-07-18,17502,11637,40,57
Netherlands,2020-07-18,51809,194,6155,127
New Zealand,2020-07-18,1553,1506,22,3
Nicaragua,2020-07-18,3147,2282,99,0
Niger,2020-07-18,1104,1014,69,2
Nigeria,2020-07-18,36107,14938,778,653
North Macedonia,2020-07-18,9026,4727,414,240
Norway,2020-07-18,9028,8138,255,3
Oman,2020-07-18,65504,42772,308,1311
Pakistan,2020-07-18,263496,204276,5568,1579
Panama,2020-07-18,52261,27494,1071,853
Papua New Guinea,2020-07-18,16,8,0,1
Paraguay,2020-07-18,3629,1643,29,172
Peru,2020-07-18,349500,238086,12998,3963
Philippines,2020-07-18,65304,22067,1773,2303
Poland,2020-07-18,39746,29924,1618,339
Portugal,2020-07-18,48390,33153,1684,313
Qatar,2020-07-18,106308,103023,154,410
Romania,2020-07-18,36691,22488,2009,889
Russia,2020-07-18,764215,545909,12228,6214
Rwanda,2020-07-18,1539,819,5,54
Saint Kitts and Nevis,2020-07-18,17,15,0,0
Saint Lucia,2020-07-18,23,19,0,0
Saint Vincent and the Grenadines,2020-07-18,38,29,0,3
San Marino,2020-07-18,699,656,42,0
Sao Tome and Principe,2020-07-18,743,337,14,2
Saudi Arabia,2020-07-18,248416,194218,2447,2565
Senegal,2020-07-18,8669,5859,163,125
Serbia,2020-07-18,20498,15179,461,389
Seychelles,2020-07-18,108,27,0,0
Sierra Leone,2020-07-18,1701,1237,65,13
Singapore,2020-07-18,47655,43833,27,202
Slovakia,2020-07-18,1976,1523,28,11
Slovenia,2020-07-18,1940,1568,111,24
Somalia,2020-07-18,3111,1452,93,5
South Africa,2020-07-18,350879,182230,4948,13285
South Sudan,2020-07-18,2191,1175,43,0
Spain,2020-07-18,260255,150376,28420,0
Sri Lanka,2020-07-18,2703,2023,11,6
Sudan,2020-07-18,10682,5637,673,155
Suriname,2020-07-18,1001,610,20,58
Sweden,2020-07-18,77281,0,5619,0
Switzerland,2020-07-18,33492,29900,1969,110
Syria,2020-07-18,496,0,25,0
Taiwan*,2020-07-18,451,440,7,0
Tajikistan,2020-07-18,6834,5529,57,48
Tanzania,2020-07-18,509,183,21,0
Thailand,2020-07-18,3246,3096,58,7
Timor-Leste,2020-07-18,24,0,0,0
Togo,2020-07-18,774,548,15,8
Trinidad and Tobago,2020-07-18,137,124,8,1
Tunisia,2020-07-18,1348,1095,50,12
Turkey,2020-07-18,218717,201013,5475,918
Uganda,2020-07-18,1062,1023,0,6
Ukraine,2020-07-18,59333,31479,1496,867
United Arab Emirates,2020-07-18,56711,48917,338,289
United Kingdom,2020-07-18,295632,1413,45358,829
Uruguay,2020-07-18,1044,921,33,7
USA,2020-07-18,3711413,1122720,140119,63698
Uzbekistan,2020-07-18,16186,9127,83,579
Venezuela,2020-07-18,11483,3972,110,292
Vietnam,2020-07-18,382,357,0,0
West Bank and Gaza,2020-07-18,8204,1596,59,440
Western Sahara,2020-07-18,10,8,1,0
Yemen,2020-07-18,1581,701,443,5
Zambia,2020-07-18,2980,1462,120,170
Zimbabwe,2020-07-18,1478,439,25,58
