date,state,fips,measure,data_quality_grade,COVID tracking deaths,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-07-15,CT,09,death,B,4380,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,DC,11,death,A+,571,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,DE,10,death,A+,521,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,FL,12,death,A,4626,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,GA,13,death,A,3091,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,HI,15,death,D,22,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,IA,19,death,A+,762,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,ID,16,death,A,103,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,IL,17,death,A,7427,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,IN,18,death,A+,2785,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,KS,20,death,A,299,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,KY,21,death,B,645,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,LA,22,death,B,3461,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MA,25,death,A+,8368,15,125,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MD,24,death,A,3341,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,ME,23,death,A+,114,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MI,26,death,A+,6330,15,136,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MN,27,death,A,1558,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MO,29,death,B,1102,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MS,28,death,A,1290,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,MT,30,death,C,34,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NC,37,death,A,1568,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,ND,38,death,D,81,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NE,31,death,B,286,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NH,33,death,B,392,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NJ,34,death,A+,15607,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NM,35,death,B,551,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
