country_region,date,Confirmed,recovered_sum,deaths_sum,New Case,region,code,year
Dominican Republic,2020-06-27,30619,16666,718,855,Dominican Republic,DOM,2016
Afghanistan,2020-06-27,30616,10674,703,165,Afghanistan,AFG,2016
Romania,2020-06-27,26022,18530,1589,325,Romania,ROU,2016
Ireland,2020-06-27,25437,23364,1734,23,Ireland,IRL,2016
Bahrain,2020-06-27,25267,19781,78,462,Bahrain,BHR,2016
Nigeria,2020-06-27,24077,8625,558,779,Nigeria,NGA,2016
Armenia,2020-06-27,23909,12911,421,662,Armenia,ARM,2016
Israel,2020-06-27,23421,17002,317,621,Israel,ISR,2016
Kazakhstan,2020-06-27,20319,12738,166,0,Kazakhstan,KAZ,2016
Japan,2020-06-27,18254,16293,971,92,Japan,JPN,2016
Austria,2020-06-27,17580,16371,700,58,Austria,AUT,2016
Honduras,2020-06-27,17007,1767,479,1013,Honduras,HND,2016
Ghana,2020-06-27,16431,12257,103,597,Ghana,GHA,2016
Guatemala,2020-06-27,16397,3123,706,569,Guatemala,GTM,2016
Moldova,2020-06-27,16080,8963,521,304,Moldova,MDA,2016
Azerbaijan,2020-06-27,15890,8719,193,521,Azerbaijan,AZE,2016
Serbia,2020-06-27,13792,12338,267,227,Serbia,SRB,2016
Algeria,2020-06-27,12968,9202,892,283,Algeria,DZA,2016
Denmark,2020-06-27,12875,11708,604,0,Denmark,DNK,2016
"Korea, South",2020-06-27,12715,11364,282,62,NA,NA,NA
Cameroon,2020-06-27,12592,10100,313,0,Cameroon,CMR,2016
Nepal,2020-06-27,12309,2834,28,554,Nepal,NPL,2016
Morocco,2020-06-27,11877,8723,220,244,Morocco,MAR,2016
Czechia,2020-06-27,11298,7682,349,260,Czech Republic,CZE,2016
Sudan,2020-06-27,9257,4014,572,0,Sudan,SDN,2016
Cote d'Ivoire,2020-06-27,8944,3722,66,205,Cote d'Ivoire,CIV,2016
Norway,2020-06-27,8846,8138,249,14,Norway,NOR,2016
Malaysia,2020-06-27,8616,8308,121,10,Malaysia,MYS,2016
Australia,2020-06-27,7686,6993,104,85,Australia,AUS,2016
Uzbekistan,2020-06-27,7682,5240,20,255,Uzbekistan,UZB,2016
Finland,2020-06-27,7198,6600,328,7,Finland,FIN,2016
Congo (Kinshasa),2020-06-27,6690,937,153,138,"Congo, Dem. Rep.",COD,2016
Senegal,2020-06-27,6459,4255,102,105,Senegal,SEN,2016
North Macedonia,2020-06-27,5906,2236,277,148,"Macedonia, FYR",MKD,2016
Kenya,2020-06-27,5811,1936,141,278,Kenya,KEN,2016
Tajikistan,2020-06-27,5799,4391,52,52,Tajikistan,TJK,2016
Haiti,2020-06-27,5777,706,100,55,Haiti,HTI,2016
El Salvador,2020-06-27,5727,3447,143,210,El Salvador,SLV,2016
Ethiopia,2020-06-27,5570,2015,94,145,Ethiopia,ETH,2016
Guinea,2020-06-27,5291,4215,30,31,Guinea,GIN,2016
Gabon,2020-06-27,5209,2327,40,0,Gabon,GAB,2016
Venezuela,2020-06-27,5130,1327,42,351,NA,NA,NA
Djibouti,2020-06-27,4643,4348,52,0,NA,NA,NA
Bulgaria,2020-06-27,4625,2475,216,112,Bulgaria,BGR,2016
Kyrgyzstan,2020-06-27,4513,2212,46,67,NA,NA,NA
Luxembourg,2020-06-27,4217,3978,110,44,Luxembourg,LUX,2016
Hungary,2020-06-27,4138,2681,578,11,Hungary,HUN,2016
Mauritania,2020-06-27,4025,1344,121,118,Mauritania,MRT,2016
Bosnia and Herzegovina,2020-06-27,3935,2338,178,0,Bosnia and Herzegovina,BIH,2016
Central African Republic,2020-06-27,3429,699,45,89,Central African Republic,CAF,2016
Greece,2020-06-27,3366,1374,191,23,Greece,GRC,2016
Thailand,2020-06-27,3162,3053,58,0,Thailand,THA,2016
Costa Rica,2020-06-27,2979,1325,14,143,Costa Rica,CRI,2016
Somalia,2020-06-27,2878,868,90,0,Somalia,SOM,2016
Croatia,2020-06-27,2624,2152,107,85,Croatia,HRV,2016
Albania,2020-06-27,2330,1346,53,61,Albania,ALB,2016
Cuba,2020-06-27,2330,2187,86,5,NA,NA,NA
Maldives,2020-06-27,2305,1875,8,22,Maldives,MDV,2016
Nicaragua,2020-06-27,2170,1238,74,0,Nicaragua,NIC,2016
Kosovo,2020-06-27,2169,1047,37,0,Kosovo,XKX,2016
Mali,2020-06-27,2118,1398,113,58,Mali,MLI,2016
Sri Lanka,2020-06-27,2033,1639,11,19,Sri Lanka,LKA,2016
Madagascar,2020-06-27,2005,907,16,83,Madagascar,MDG,2016
Equatorial Guinea,2020-06-27,2001,515,32,0,Equatorial Guinea,GNQ,2016
Estonia,2020-06-27,1986,1812,69,0,Estonia,EST,2016
Paraguay,2020-06-27,1942,1045,15,231,Paraguay,PRY,2016
South Sudan,2020-06-27,1942,224,36,0,NA,NA,NA
Iceland,2020-06-27,1836,1814,10,4,Iceland,ISL,2016
West Bank and Gaza,2020-06-27,1815,446,4,258,West Bank and Gaza,PSE,2016
Lithuania,2020-06-27,1813,1503,78,5,Lithuania,LTU,2016
Lebanon,2020-06-27,1719,1153,33,22,Lebanon,LBN,2016
Slovakia,2020-06-27,1657,1455,28,14,NA,NA,NA
Guinea-Bissau,2020-06-27,1614,317,22,0,Guinea-Bissau,GNB,2016
Slovenia,2020-06-27,1572,1376,109,14,Slovenia,SVN,2016
Zambia,2020-06-27,1531,1233,21,0,Zambia,ZMB,2016
New Zealand,2020-06-27,1526,1484,22,4,New Zealand,NZL,2016
Sierra Leone,2020-06-27,1410,937,59,16,Sierra Leone,SLE,2016
Tunisia,2020-06-27,1168,1025,50,4,Tunisia,TUN,2016
Benin,2020-06-27,1124,295,14,71,Benin,BEN,2016
Latvia,2020-06-27,1115,932,30,3,Latvia,LVA,2016
Jordan,2020-06-27,1111,841,9,7,Jordan,JOR,2016
Yemen,2020-06-27,1103,417,296,14,NA,NA,NA
Cabo Verde,2020-06-27,1091,568,12,64,Cabo Verde,CPV,2016
Congo (Brazzaville),2020-06-27,1087,456,37,0,"Congo, Rep.",COG,2016
Niger,2020-06-27,1062,924,67,3,Niger,NER,2016
Malawi,2020-06-27,1038,260,13,33,Malawi,MWI,2016
Cyprus,2020-06-27,994,824,19,2,Cyprus,CYP,2016
Burkina Faso,2020-06-27,941,830,53,0,Burkina Faso,BFA,2016
Uruguay,2020-06-27,924,818,26,5,Uruguay,URY,2016
Georgia,2020-06-27,921,781,14,2,Georgia,GEO,2016
Rwanda,2020-06-27,878,413,2,20,Rwanda,RWA,2016
Chad,2020-06-27,865,778,74,0,Chad,TCD,2016
Andorra,2020-06-27,855,799,52,0,Andorra,AND,2016
Uganda,2020-06-27,848,761,0,15,Uganda,UGA,2016
Mozambique,2020-06-27,839,0,5,23,Mozambique,MOZ,2016
Eswatini,2020-06-27,745,370,8,17,Swaziland,SWZ,2016
Liberia,2020-06-27,729,291,34,45,Liberia,LBR,2016
Libya,2020-06-27,727,171,18,14,NA,NA,NA
Sao Tome and Principe,2020-06-27,713,219,13,1,Sao Tome and Principe,STP,2016
San Marino,2020-06-27,698,656,42,0,San Marino,SMR,2016
Jamaica,2020-06-27,690,552,10,4,Jamaica,JAM,2016
Malta,2020-06-27,670,635,9,0,Malta,MLT,2016
Togo,2020-06-27,615,396,14,24,Togo,TGO,2016
Zimbabwe,2020-06-27,567,142,6,6,Zimbabwe,ZWE,2016
Tanzania,2020-06-27,509,183,21,0,Tanzania,TZA,2016
Montenegro,2020-06-27,469,315,9,30,Montenegro,MNE,2016
Suriname,2020-06-27,467,191,11,78,Suriname,SUR,2016
Taiwan*,2020-06-27,447,435,7,0,NA,NA,NA
Vietnam,2020-06-27,355,330,0,2,Vietnam,VNM,2016
Mauritius,2020-06-27,341,326,10,0,Mauritius,MUS,2016
Burma,2020-06-27,296,216,6,3,NA,NA,NA
Comoros,2020-06-27,272,161,7,0,Comoros,COM,2016
Angola,2020-06-27,259,81,10,47,Angola,AGO,2016
Syria,2020-06-27,256,0,9,1,NA,NA,NA
Guyana,2020-06-27,230,109,12,15,Guyana,GUY,2016
Mongolia,2020-06-27,219,175,0,0,Mongolia,MNG,2016
Eritrea,2020-06-27,191,53,0,24,NA,NA,NA
Burundi,2020-06-27,170,115,1,26,Burundi,BDI,2016
Brunei,2020-06-27,141,138,3,0,NA,NA,NA
Cambodia,2020-06-27,141,129,0,2,Cambodia,KHM,2016
Namibia,2020-06-27,136,22,0,15,Namibia,NAM,2016
Trinidad and Tobago,2020-06-27,126,109,8,2,Trinidad and Tobago,TTO,2016
Bahamas,2020-06-27,104,87,11,0,"Bahamas, The",BHS,2016
Monaco,2020-06-27,103,95,4,1,NA,NA,NA
Barbados,2020-06-27,97,90,7,0,Barbados,BRB,2016
Botswana,2020-06-27,92,25,1,0,Botswana,BWA,2016
Liechtenstein,2020-06-27,82,81,1,0,NA,NA,NA
Bhutan,2020-06-27,75,38,0,5,Bhutan,BTN,2016
Antigua and Barbuda,2020-06-27,65,22,3,0,Antigua and Barbuda,ATG,2016
Gambia,2020-06-27,44,26,2,1,"Gambia, The",GMB,2016
Saint Vincent and the Grenadines,2020-06-27,29,29,0,0,NA,NA,NA
Belize,2020-06-27,24,18,2,0,Belize,BLZ,2016
Lesotho,2020-06-27,24,4,0,0,Lesotho,LSO,2016
Timor-Leste,2020-06-27,24,0,0,0,Timor-Leste,TLS,2016
Grenada,2020-06-27,23,23,0,0,Grenada,GRD,2016
Seychelles,2020-06-27,20,11,0,9,Seychelles,SYC,2016
Laos,2020-06-27,19,19,0,0,NA,NA,NA
Saint Lucia,2020-06-27,19,19,0,0,NA,NA,NA
Dominica,2020-06-27,18,18,0,0,Dominica,DMA,2016
Fiji,2020-06-27,18,18,0,0,Fiji,FJI,2016
Saint Kitts and Nevis,2020-06-27,15,15,0,0,NA,NA,NA
Holy See,2020-06-27,12,12,0,0,NA,NA,NA
Papua New Guinea,2020-06-27,11,8,0,0,Papua New Guinea,PNG,2016
Western Sahara,2020-06-27,10,8,1,0,NA,NA,NA
