date,case,increment
2020-03-27,Deaths,548
2020-03-28,Confirmed,19800
2020-03-28,Recovered,203
2020-03-28,Deaths,637
2020-03-29,Confirmed,19140
2020-03-29,Recovered,1593
2020-03-29,Deaths,625
2020-03-30,Confirmed,21496
2020-03-30,Recovered,2979
2020-03-30,Deaths,806
2020-03-31,Confirmed,26011
2020-03-31,Recovered,1380
2020-03-31,Deaths,1216
2020-04-01,Confirmed,25493
2020-04-01,Recovered,1450
2020-04-01,Deaths,1219
2020-04-02,Confirmed,30399
2020-04-02,Recovered,527
2020-04-02,Deaths,1562
2020-04-03,Confirmed,31942
2020-04-03,Recovered,706
2020-04-03,Deaths,1297
2020-04-04,Confirmed,33164
2020-04-04,Recovered,4945
2020-04-04,Deaths,1266
2020-04-05,Confirmed,27874
2020-04-05,Recovered,2796
2020-04-05,Deaths,1411
2020-04-06,Confirmed,29637
2020-04-06,Recovered,2133
2020-04-06,Deaths,1662
2020-04-07,Confirmed,30782
2020-04-07,Recovered,2182
2020-04-07,Deaths,2305
2020-04-08,Confirmed,31694
2020-04-08,Recovered,1796
2020-04-08,Deaths,2079
2020-04-09,Confirmed,34756
2020-04-09,Recovered,1851
2020-04-09,Deaths,2046
2020-04-10,Confirmed,33501
2020-04-10,Recovered,3380
2020-04-10,Deaths,2071
2020-04-11,Confirmed,30015
2020-04-11,Recovered,2480
2020-04-11,Deaths,2012
2020-04-12,Confirmed,28559
2020-04-12,Recovered,1718
2020-04-12,Deaths,1740
2020-04-13,Confirmed,25293
2020-04-13,Recovered,10494
2020-04-13,Deaths,1798
2020-04-14,Confirmed,27035
2020-04-14,Recovered,4281
2020-04-14,Deaths,2393
2020-04-15,Confirmed,29129
2020-04-15,Recovered,4333
2020-04-15,Deaths,2515
2020-04-16,Confirmed,31298
2020-04-16,Recovered,2607
2020-04-16,Deaths,2087
2020-04-17,Confirmed,32724
2020-04-17,Recovered,3842
2020-04-17,Deaths,2590
2020-04-18,Confirmed,28321
2020-04-18,Recovered,6295
2020-04-18,Deaths,2345
2020-04-19,Confirmed,26058
2020-04-19,Recovered,5497
2020-04-19,Deaths,1182
2020-04-20,Confirmed,27341
2020-04-20,Recovered,1992
2020-04-20,Deaths,1770
2020-04-21,Confirmed,25497
2020-04-21,Recovered,2875
2020-04-21,Deaths,2396
2020-04-22,Confirmed,28201
2020-04-22,Recovered,2162
2020-04-22,Deaths,2335
2020-04-23,Confirmed,34203
2020-04-23,Recovered,2837
2020-04-23,Deaths,2320
2020-04-24,Confirmed,36291
2020-04-24,Recovered,18876
2020-04-24,Deaths,1777
2020-04-25,Confirmed,32921
2020-04-25,Recovered,1293
2020-04-25,Deaths,2269
2020-04-26,Confirmed,27688
2020-04-26,Recovered,6616
2020-04-26,Deaths,1147
2020-04-27,Confirmed,22476
2020-04-27,Recovered,4436
2020-04-27,Deaths,1340
2020-04-28,Confirmed,24525
2020-04-28,Recovered,4512
2020-04-28,Deaths,2130
2020-04-29,Confirmed,27408
2020-04-29,Recovered,4784
2020-04-29,Deaths,2620
2020-04-30,Confirmed,29741
2020-04-30,Recovered,33227
2020-04-30,Deaths,2039
2020-05-01,Confirmed,34162
2020-05-01,Recovered,10068
2020-05-01,Deaths,1952
2020-05-02,Confirmed,29195
2020-05-02,Recovered,11367
2020-05-02,Deaths,1425
2020-05-03,Confirmed,25587
2020-05-03,Recovered,4770
2020-05-03,Deaths,1322
2020-05-04,Confirmed,22475
2020-05-04,Recovered,7028
2020-05-04,Deaths,1247
2020-05-05,Confirmed,24185
2020-05-05,Recovered,2611
2020-05-05,Deaths,2150
2020-05-06,Confirmed,25256
2020-05-06,Recovered,119
2020-05-06,Deaths,2388
2020-05-07,Confirmed,27882
2020-05-07,Recovered,5126
2020-05-07,Deaths,2211
2020-05-08,Confirmed,27157
2020-05-08,Recovered,3957
2020-05-08,Deaths,1509
2020-05-09,Confirmed,25740
2020-05-09,Recovered,13541
2020-05-09,Deaths,1627
2020-05-10,Confirmed,19778
2020-05-10,Recovered,3635
2020-05-10,Deaths,734
2020-05-11,Confirmed,18878
2020-05-11,Recovered,16564
2020-05-11,Deaths,1162
2020-05-12,Confirmed,21952
2020-05-12,Recovered,-2446
2020-05-12,Deaths,1691
2020-05-13,Confirmed,21195
2020-05-13,Recovered,13143
2020-05-13,Deaths,1743
2020-05-14,Confirmed,27617
2020-05-14,Recovered,2984
2020-05-14,Deaths,1777
2020-05-15,Confirmed,25300
2020-05-15,Recovered,4333
2020-05-15,Deaths,1633
2020-05-16,Confirmed,25101
2020-05-16,Recovered,17629
2020-05-16,Deaths,1222
2020-05-17,Confirmed,19004
2020-05-17,Recovered,3889
2020-05-17,Deaths,809
2020-05-18,Confirmed,21708
2020-05-18,Recovered,10913
2020-05-18,Deaths,790
2020-05-19,Confirmed,20498
2020-05-19,Recovered,6214
2020-05-19,Deaths,1569
2020-05-20,Confirmed,23612
2020-05-20,Recovered,4920
2020-05-20,Deaths,1523
2020-05-21,Confirmed,25537
2020-05-21,Recovered,4106
2020-05-21,Deaths,1245
2020-05-22,Confirmed,24137
2020-05-22,Recovered,51717
2020-05-22,Deaths,1276
2020-05-23,Confirmed,21827
2020-05-23,Recovered,11104
2020-05-23,Deaths,1110
2020-05-24,Confirmed,20789
2020-05-24,Recovered,5497
2020-05-24,Deaths,633
2020-05-25,Confirmed,18970
2020-05-25,Recovered,12421
2020-05-25,Deaths,502
2020-05-26,Confirmed,18848
2020-05-26,Recovered,5745
2020-05-26,Deaths,698
2020-05-27,Confirmed,18366
2020-05-27,Recovered,6606
2020-05-27,Deaths,1505
2020-05-28,Confirmed,22836
2020-05-28,Recovered,8483
2020-05-28,Deaths,1193
2020-05-29,Confirmed,24488
2020-05-29,Recovered,6455
2020-05-29,Deaths,1176
2020-05-30,Confirmed,24246
2020-05-30,Recovered,10015
2020-05-30,Deaths,941
2020-05-31,Confirmed,20129
2020-05-31,Recovered,28297
2020-05-31,Deaths,605
2020-06-01,Confirmed,17354
2020-06-01,Recovered,13473
2020-06-01,Deaths,771
2020-06-02,Confirmed,20891
2020-06-02,Recovered,5637
2020-06-02,Deaths,1031
2020-06-03,Confirmed,19881
2020-06-03,Recovered,15390
2020-06-03,Deaths,983
2020-06-04,Confirmed,21295
2020-06-04,Recovered,5744
2020-06-04,Deaths,1035
2020-06-05,Confirmed,25311
2020-06-05,Recovered,6704
2020-06-05,Deaths,970
2020-06-06,Confirmed,22684
2020-06-06,Recovered,9143
2020-06-06,Deaths,675
2020-06-07,Confirmed,17771
2020-06-07,Recovered,5518
2020-06-07,Deaths,451
2020-06-08,Confirmed,17472
2020-06-08,Recovered,12155
2020-06-08,Deaths,493
2020-06-09,Confirmed,18087
2020-06-09,Recovered,6333
2020-06-09,Deaths,946
2020-06-10,Confirmed,20834
2020-06-10,Recovered,8649
2020-06-10,Deaths,921
2020-06-11,Confirmed,22888
2020-06-11,Recovered,6788
2020-06-11,Deaths,888
2020-06-12,Confirmed,25396
2020-06-12,Recovered,7094
2020-06-12,Deaths,846
2020-06-13,Confirmed,25540
2020-06-13,Recovered,9220
2020-06-13,Deaths,767
2020-06-14,Confirmed,19532
2020-06-14,Recovered,5210
2020-06-14,Deaths,296
2020-06-15,Confirmed,19968
2020-06-15,Recovered,14518
2020-06-15,Deaths,395
2020-06-16,Confirmed,23705
2020-06-16,Recovered,7169
2020-06-16,Deaths,836
2020-06-17,Confirmed,25559
2020-06-17,Recovered,8688
2020-06-17,Deaths,754
2020-06-18,Confirmed,27762
2020-06-18,Recovered,6924
2020-06-18,Deaths,715
2020-06-19,Confirmed,31527
2020-06-19,Recovered,7600
2020-06-19,Deaths,692
2020-06-20,Confirmed,32718
2020-06-20,Recovered,10745
2020-06-20,Deaths,596
2020-06-21,Confirmed,26358
2020-06-21,Recovered,4673
2020-06-21,Deaths,259
2020-06-22,Confirmed,30647
2020-06-22,Recovered,18065
2020-06-22,Deaths,423
2020-06-23,Confirmed,35189
2020-06-23,Recovered,7350
2020-06-23,Deaths,829
2020-06-24,Confirmed,34836
2020-06-24,Recovered,8613
2020-06-24,Deaths,754
2020-06-25,Confirmed,39972
2020-06-25,Recovered,7401
2020-06-25,Deaths,2425
2020-06-26,Confirmed,45255
2020-06-26,Recovered,7247
2020-06-26,Deaths,629
2020-06-27,Confirmed,42597
2020-06-27,Recovered,8499
2020-06-27,Deaths,500
