country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Syria,2020-06-27,256,0,9,1
Taiwan*,2020-06-27,447,435,7,0
Tajikistan,2020-06-27,5799,4391,52,52
Tanzania,2020-06-27,509,183,21,0
Thailand,2020-06-27,3162,3053,58,0
Timor-Leste,2020-06-27,24,0,0,0
Togo,2020-06-27,615,396,14,24
Trinidad and Tobago,2020-06-27,126,109,8,2
Tunisia,2020-06-27,1168,1025,50,4
Turkey,2020-06-27,195883,169182,5082,1372
Uganda,2020-06-27,848,761,0,15
Ukraine,2020-06-27,42932,19350,1121,957
United Arab Emirates,2020-06-27,47360,35834,311,387
United Kingdom,2020-06-27,311727,1364,43598,891
Uruguay,2020-06-27,924,818,26,5
USA,2020-06-27,2510151,679308,125539,42597
Uzbekistan,2020-06-27,7682,5240,20,255
Venezuela,2020-06-27,5130,1327,42,351
Vietnam,2020-06-27,355,330,0,2
West Bank and Gaza,2020-06-27,1815,446,4,258
Western Sahara,2020-06-27,10,8,1,0
Yemen,2020-06-27,1103,417,296,14
Zambia,2020-06-27,1531,1233,21,0
Zimbabwe,2020-06-27,567,142,6,6
