country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-06-27,30616,10674,703,165
Albania,2020-06-27,2330,1346,53,61
Algeria,2020-06-27,12968,9202,892,283
Andorra,2020-06-27,855,799,52,0
Angola,2020-06-27,259,81,10,47
Antigua and Barbuda,2020-06-27,65,22,3,0
Argentina,2020-06-27,57744,19143,1207,2401
Armenia,2020-06-27,23909,12911,421,662
Australia,2020-06-27,7686,6993,104,85
Austria,2020-06-27,17580,16371,700,58
Azerbaijan,2020-06-27,15890,8719,193,521
Bahamas,2020-06-27,104,87,11,0
Bahrain,2020-06-27,25267,19781,78,462
Bangladesh,2020-06-27,133978,54318,1695,3504
Barbados,2020-06-27,97,90,7,0
Belarus,2020-06-27,61095,44126,377,382
Belgium,2020-06-27,61209,16941,9732,103
Belize,2020-06-27,24,18,2,0
Benin,2020-06-27,1124,295,14,71
Bhutan,2020-06-27,75,38,0,5
Bolivia,2020-06-27,30676,8158,970,1253
Bosnia and Herzegovina,2020-06-27,3935,2338,178,0
Botswana,2020-06-27,92,25,1,0
Brazil,2020-06-27,1313667,727715,57070,38693
Brunei,2020-06-27,141,138,3,0
Bulgaria,2020-06-27,4625,2475,216,112
Burkina Faso,2020-06-27,941,830,53,0
Burma,2020-06-27,296,216,6,3
Burundi,2020-06-27,170,115,1,26
Cabo Verde,2020-06-27,1091,568,12,64
Cambodia,2020-06-27,141,129,0,2
Cameroon,2020-06-27,12592,10100,313,0
Canada,2020-06-27,104878,0,8576,249
Central African Republic,2020-06-27,3429,699,45,89
Chad,2020-06-27,865,778,74,0
Chile,2020-06-27,267766,228055,5347,4406
China,2020-06-27,84743,79591,4641,18
Colombia,2020-06-27,84660,34999,2946,3849
Comoros,2020-06-27,272,161,7,0
Congo (Brazzaville),2020-06-27,1087,456,37,0
Congo (Kinshasa),2020-06-27,6690,937,153,138
Costa Rica,2020-06-27,2979,1325,14,143
Cote d'Ivoire,2020-06-27,8944,3722,66,205
Croatia,2020-06-27,2624,2152,107,85
Cuba,2020-06-27,2330,2187,86,5
Cyprus,2020-06-27,994,824,19,2
Czechia,2020-06-27,11298,7682,349,260
Denmark,2020-06-27,12875,11708,604,0
Djibouti,2020-06-27,4643,4348,52,0
Dominica,2020-06-27,18,18,0,0
Dominican Republic,2020-06-27,30619,16666,718,855
Ecuador,2020-06-27,54574,26920,4424,718
Egypt,2020-06-27,63923,17140,2708,1168
El Salvador,2020-06-27,5727,3447,143,210
Equatorial Guinea,2020-06-27,2001,515,32,0
Eritrea,2020-06-27,191,53,0,24
Estonia,2020-06-27,1986,1812,69,0
Eswatini,2020-06-27,745,370,8,17
Ethiopia,2020-06-27,5570,2015,94,145
Fiji,2020-06-27,18,18,0,0
Finland,2020-06-27,7198,6600,328,7
France,2020-06-27,200195,75773,29781,0
Gabon,2020-06-27,5209,2327,40,0
Gambia,2020-06-27,44,26,2,1
Georgia,2020-06-27,921,781,14,2
Germany,2020-06-27,194458,177518,8968,422
Ghana,2020-06-27,16431,12257,103,597
Greece,2020-06-27,3366,1374,191,23
Grenada,2020-06-27,23,23,0,0
Guatemala,2020-06-27,16397,3123,706,569
Guinea,2020-06-27,5291,4215,30,31
Guinea-Bissau,2020-06-27,1614,317,22,0
Guyana,2020-06-27,230,109,12,15
Haiti,2020-06-27,5777,706,100,55
Holy See,2020-06-27,12,12,0,0
Honduras,2020-06-27,17007,1767,479,1013
Hungary,2020-06-27,4138,2681,578,11
Iceland,2020-06-27,1836,1814,10,4
India,2020-06-27,528859,309713,16095,19906
Indonesia,2020-06-27,52812,21909,2720,1385
Iran,2020-06-27,220180,180661,10364,2456
Iraq,2020-06-27,43262,19938,1660,2069
Ireland,2020-06-27,25437,23364,1734,23
Israel,2020-06-27,23421,17002,317,621
Italy,2020-06-27,240136,188584,34716,175
Jamaica,2020-06-27,690,552,10,4
Japan,2020-06-27,18254,16293,971,92
Jordan,2020-06-27,1111,841,9,7
Kazakhstan,2020-06-27,20319,12738,166,0
Kenya,2020-06-27,5811,1936,141,278
"Korea, South",2020-06-27,12715,11364,282,62
Kosovo,2020-06-27,2169,1047,37,0
Kuwait,2020-06-27,44391,34586,344,688
Kyrgyzstan,2020-06-27,4513,2212,46,67
Laos,2020-06-27,19,19,0,0
Latvia,2020-06-27,1115,932,30,3
Lebanon,2020-06-27,1719,1153,33,22
Lesotho,2020-06-27,24,4,0,0
Liberia,2020-06-27,729,291,34,45
Libya,2020-06-27,727,171,18,14
Liechtenstein,2020-06-27,82,81,1,0
Lithuania,2020-06-27,1813,1503,78,5
Luxembourg,2020-06-27,4217,3978,110,44
Madagascar,2020-06-27,2005,907,16,83
Malawi,2020-06-27,1038,260,13,33
Malaysia,2020-06-27,8616,8308,121,10
Maldives,2020-06-27,2305,1875,8,22
Mali,2020-06-27,2118,1398,113,58
Malta,2020-06-27,670,635,9,0
Mauritania,2020-06-27,4025,1344,121,118
Mauritius,2020-06-27,341,326,10,0
Mexico,2020-06-27,212802,160721,26381,4410
Moldova,2020-06-27,16080,8963,521,304
Monaco,2020-06-27,103,95,4,1
Mongolia,2020-06-27,219,175,0,0
Montenegro,2020-06-27,469,315,9,30
Morocco,2020-06-27,11877,8723,220,244
Mozambique,2020-06-27,839,0,5,23
Namibia,2020-06-27,136,22,0,15
Nepal,2020-06-27,12309,2834,28,554
Netherlands,2020-06-27,50282,186,6124,69
New Zealand,2020-06-27,1526,1484,22,4
Nicaragua,2020-06-27,2170,1238,74,0
Niger,2020-06-27,1062,924,67,3
Nigeria,2020-06-27,24077,8625,558,779
North Macedonia,2020-06-27,5906,2236,277,148
Norway,2020-06-27,8846,8138,249,14
Oman,2020-06-27,36953,20363,159,919
Pakistan,2020-06-27,202955,92624,4118,4072
Panama,2020-06-27,30658,15370,592,753
Papua New Guinea,2020-06-27,11,8,0,0
Paraguay,2020-06-27,1942,1045,15,231
Peru,2020-06-27,275989,164024,9135,3625
Philippines,2020-06-27,34803,9430,1236,730
Poland,2020-06-27,33714,19972,1435,319
Portugal,2020-06-27,41189,26864,1561,323
Qatar,2020-06-27,93663,77225,110,879
Romania,2020-06-27,26022,18530,1589,325
Russia,2020-06-27,626779,392703,8958,6843
Rwanda,2020-06-27,878,413,2,20
Saint Kitts and Nevis,2020-06-27,15,15,0,0
Saint Lucia,2020-06-27,19,19,0,0
Saint Vincent and the Grenadines,2020-06-27,29,29,0,0
San Marino,2020-06-27,698,656,42,0
Sao Tome and Principe,2020-06-27,713,219,13,1
Saudi Arabia,2020-06-27,178504,122128,1511,3927
Senegal,2020-06-27,6459,4255,102,105
Serbia,2020-06-27,13792,12338,267,227
Seychelles,2020-06-27,20,11,0,9
Sierra Leone,2020-06-27,1410,937,59,16
Singapore,2020-06-27,43246,37163,26,291
Slovakia,2020-06-27,1657,1455,28,14
Slovenia,2020-06-27,1572,1376,109,14
Somalia,2020-06-27,2878,868,90,0
South Africa,2020-06-27,131800,67094,2413,7210
South Sudan,2020-06-27,1942,224,36,0
Spain,2020-06-27,248469,150376,28341,564
Sri Lanka,2020-06-27,2033,1639,11,19
Sudan,2020-06-27,9257,4014,572,0
Suriname,2020-06-27,467,191,11,78
Sweden,2020-06-27,65137,0,5280,0
Switzerland,2020-06-27,31555,29100,1962,69
