country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Croatia,2020-07-10,3532,2377,117,116,Croatia,HRV
Albania,2020-07-10,3278,1875,85,90,Albania,ALB
Thailand,2020-07-10,3202,3087,58,0,Thailand,THA
Equatorial Guinea,2020-07-10,3071,842,51,0,Equatorial Guinea,GNQ
Somalia,2020-07-10,3038,1209,92,0,Somalia,SOM
Nicaragua,2020-07-10,2846,1993,91,0,Nicaragua,NIC
Paraguay,2020-07-10,2736,1256,20,98,Paraguay,PRY
Maldives,2020-07-10,2617,2238,13,64,Maldives,MDV
Sri Lanka,2020-07-10,2454,1980,11,300,Sri Lanka,LKA
Cuba,2020-07-10,2413,2249,86,10,NA,NA
Mali,2020-07-10,2404,1650,121,34,Mali,MLI
Lebanon,2020-07-10,2082,1402,36,71,Lebanon,LBN
Malawi,2020-07-10,2069,379,31,127,Malawi,MWI
Congo (Brazzaville),2020-07-10,2028,589,47,207,"Congo, Rep.",COG
South Sudan,2020-07-10,2021,333,38,0,NA,NA
Estonia,2020-07-10,2013,1894,69,2,Estonia,EST
Zambia,2020-07-10,1895,1348,42,0,Zambia,ZMB
Iceland,2020-07-10,1886,1859,10,4,Iceland,ISL
Slovakia,2020-07-10,1870,1481,28,19,NA,NA
Lithuania,2020-07-10,1861,1569,79,4,Lithuania,LTU
Guinea-Bissau,2020-07-10,1842,773,26,52,Guinea-Bissau,GNB
Slovenia,2020-07-10,1793,1429,111,17,Slovenia,SVN
Sierra Leone,2020-07-10,1613,1133,63,15,Sierra Leone,SLE
Cabo Verde,2020-07-10,1591,730,19,39,Cabo Verde,CPV
New Zealand,2020-07-10,1543,1497,22,1,New Zealand,NZL
Yemen,2020-07-10,1380,0,364,24,NA,NA
Libya,2020-07-10,1342,307,38,0,NA,NA
Benin,2020-07-10,1285,333,23,0,Benin,BEN
Eswatini,2020-07-10,1257,633,18,44,Swaziland,SWZ
Rwanda,2020-07-10,1252,635,3,42,Rwanda,RWA
Tunisia,2020-07-10,1240,1067,50,9,Tunisia,TUN
Jordan,2020-07-10,1173,986,10,4,Jordan,JOR
Latvia,2020-07-10,1165,1019,30,11,Latvia,LVA
Mozambique,2020-07-10,1111,0,9,19,Mozambique,MOZ
Niger,2020-07-10,1099,978,68,2,Niger,NER
Burkina Faso,2020-07-10,1020,862,53,15,Burkina Faso,BFA
Montenegro,2020-07-10,1019,320,19,0,Montenegro,MNE
Cyprus,2020-07-10,1013,839,19,3,Cyprus,CYP
Uganda,2020-07-10,1006,938,0,6,Uganda,UGA
Uruguay,2020-07-10,985,886,29,8,Uruguay,URY
Georgia,2020-07-10,973,846,15,5,Georgia,GEO
Liberia,2020-07-10,963,400,47,6,Liberia,LBR
Zimbabwe,2020-07-10,942,320,13,57,Zimbabwe,ZWE
Chad,2020-07-10,874,789,74,1,Chad,TCD
Andorra,2020-07-10,855,803,52,0,Andorra,AND
Jamaica,2020-07-10,753,605,10,0,Jamaica,JAM
Sao Tome and Principe,2020-07-10,727,284,14,1,Sao Tome and Principe,STP
Suriname,2020-07-10,726,481,18,32,Suriname,SUR
Togo,2020-07-10,710,494,15,6,Togo,TGO
