date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-05-21,5102216,334077,1891725,106520
2020-05-22,5209116,339354,1998754,106900
2020-05-23,5308099,343342,2052862,98983
2020-05-24,5403425,346159,2107460,95326
2020-05-25,5490388,347336,2170307,86963
2020-05-26,5582910,351537,2224578,92522
2020-05-27,5685510,356719,2286811,102600
2020-05-28,5803599,361392,2352754,118089
2020-05-29,5924709,366076,2427668,121110
2020-05-30,6053134,370211,2497136,128425
2020-05-31,6160243,373078,2572592,107109
2020-06-01,6256493,376608,2626370,96250
2020-06-02,6369046,381307,2729633,112553
2020-06-03,6496381,387013,2807781,127335
2020-06-04,6623083,392161,2876983,126702
2020-06-05,6755724,396983,2944201,132641
2020-06-06,6881530,400801,3015269,125806
2020-06-07,6993970,403550,3069529,112440
2020-06-08,7097409,407306,3220245,103439
2020-06-09,7220392,412161,3301567,122983
2020-06-10,7354172,417366,3379368,133780
2020-06-11,7492360,422150,3464164,138188
2020-06-12,7621346,426445,3542826,128986
2020-06-13,7755445,430695,3627796,134099
2020-06-14,7888575,434041,3697611,133130
2020-06-15,8010360,437545,3776086,121785
2020-06-16,8149939,444334,3873286,139579
2020-06-17,8325831,449605,3990393,175892
2020-06-18,8464706,454614,4070914,138875
2020-06-19,8645640,460883,4163290,180934
2020-06-20,8803904,465151,4278340,158264
2020-06-21,8934807,469208,4346459,130903
2020-06-22,9072666,472779,4437576,137859
2020-06-23,9238013,478203,4541056,165347
2020-06-24,9405649,483377,4653903,167636
2020-06-25,9583608,489928,4746224,177959
2020-06-26,9774609,494773,4852438,191001
2020-06-27,9952423,499291,4958390,177814
2020-06-28,10117641,502450,5047085,165218
2020-06-29,10273510,506076,5140888,155869
2020-06-30,10447879,511268,5257771,174369
2020-07-01,10664168,516253,5373237,216289
2020-07-02,10871926,521361,5657532,207758
2020-07-03,11076086,526419,5766951,204160
2020-07-04,11269114,530767,5962263,193028
2020-07-05,11452196,534280,6081360,183082
2020-07-06,11620096,538058,6204498,167900
2020-07-07,11829602,544163,6347716,209506
2020-07-08,12041480,549468,6505072,211878
2020-07-09,12268518,554924,6639098,227038
2020-07-10,12498467,560209,6777981,229949
