country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-10,34194,20882,971,286
Albania,2020-07-10,3278,1875,85,90
Algeria,2020-07-10,18242,13124,996,434
Andorra,2020-07-10,855,803,52,0
Angola,2020-07-10,458,117,23,62
Antigua and Barbuda,2020-07-10,74,57,3,1
Argentina,2020-07-10,94060,38984,1774,3367
Armenia,2020-07-10,30903,18709,546,557
Australia,2020-07-10,9553,7733,107,179
Austria,2020-07-10,18709,16808,706,94
Azerbaijan,2020-07-10,22990,14093,292,526
Bahamas,2020-07-10,108,89,11,1
Bahrain,2020-07-10,32039,27213,104,511
Bangladesh,2020-07-10,178443,86406,2275,2949
Barbados,2020-07-10,98,90,7,0
Belarus,2020-07-10,64604,54254,454,193
Belgium,2020-07-10,62357,17179,9781,147
Belize,2020-07-10,37,20,2,7
Benin,2020-07-10,1285,333,23,0
Bhutan,2020-07-10,80,55,0,0
Bolivia,2020-07-10,45565,13918,1702,1452
Bosnia and Herzegovina,2020-07-10,6402,3037,216,316
Botswana,2020-07-10,314,31,1,0
Brazil,2020-07-10,1800827,1217361,70398,45048
Brunei,2020-07-10,141,138,3,0
Bulgaria,2020-07-10,6964,3308,267,292
Burkina Faso,2020-07-10,1020,862,53,15
Burma,2020-07-10,326,256,6,5
Burundi,2020-07-10,191,118,1,0
Cabo Verde,2020-07-10,1591,730,19,39
Cambodia,2020-07-10,141,131,0,0
Cameroon,2020-07-10,14916,0,359,0
Canada,2020-07-10,108984,0,8811,328
Central African Republic,2020-07-10,4259,1142,53,59
Chad,2020-07-10,874,789,74,1
Chile,2020-07-10,309274,278053,6781,3058
China,2020-07-10,84992,76742,4641,0
Colombia,2020-07-10,133973,56272,4985,5335
Comoros,2020-07-10,314,272,7,0
Congo (Brazzaville),2020-07-10,2028,589,47,207
Congo (Kinshasa),2020-07-10,7905,3513,189,59
Costa Rica,2020-07-10,6845,2110,26,360
Cote d'Ivoire,2020-07-10,12052,6080,81,302
Croatia,2020-07-10,3532,2377,117,116
Cuba,2020-07-10,2413,2249,86,10
Cyprus,2020-07-10,1013,839,19,3
Czechia,2020-07-10,13001,0,352,82
Denmark,2020-07-10,13147,12278,609,30
Djibouti,2020-07-10,4968,4689,56,13
Dominica,2020-07-10,18,18,0,0
Dominican Republic,2020-07-10,41915,20830,864,1125
Ecuador,2020-07-10,65018,29577,4939,797
Egypt,2020-07-10,80235,23274,3702,981
El Salvador,2020-07-10,9142,5428,249,298
Equatorial Guinea,2020-07-10,3071,842,51,0
Eritrea,2020-07-10,232,107,0,0
Estonia,2020-07-10,2013,1894,69,2
Eswatini,2020-07-10,1257,633,18,44
Ethiopia,2020-07-10,7120,2430,124,147
Fiji,2020-07-10,26,18,0,0
Finland,2020-07-10,7279,6800,329,6
France,2020-07-10,208015,78513,30007,659
Gabon,2020-07-10,5942,3004,46,71
Gambia,2020-07-10,64,34,3,1
Georgia,2020-07-10,973,846,15,5
Germany,2020-07-10,199332,184028,9063,331
Ghana,2020-07-10,23834,19212,135,371
Greece,2020-07-10,3732,1374,193,60
Grenada,2020-07-10,23,0,0,0
Guatemala,2020-07-10,27619,4024,1139,961
Guinea,2020-07-10,5969,4732,37,88
Guinea-Bissau,2020-07-10,1842,773,26,52
Guyana,2020-07-10,290,134,16,4
Haiti,2020-07-10,6617,2590,135,131
Holy See,2020-07-10,12,12,0,0
Honduras,2020-07-10,27053,2850,750,669
Hungary,2020-07-10,4223,2941,593,3
Iceland,2020-07-10,1886,1859,10,4
India,2020-07-10,820916,515386,22123,27114
Indonesia,2020-07-10,72347,33529,3469,1611
Iran,2020-07-10,252720,215015,12447,2262
Iraq,2020-07-10,72460,41380,2960,2848
Ireland,2020-07-10,25589,23364,1744,24
Israel,2020-07-10,36266,18613,351,1441
Italy,2020-07-10,242639,194273,34938,276
Jamaica,2020-07-10,753,605,10,0
Japan,2020-07-10,21044,17494,982,427
Jordan,2020-07-10,1173,986,10,4
Kazakhstan,2020-07-10,56455,32500,264,1708
Kenya,2020-07-10,9448,2733,181,473
"Korea, South",2020-07-10,13373,12144,288,35
Kosovo,2020-07-10,4307,2095,94,207
Kuwait,2020-07-10,53580,43214,383,740
Kyrgyzstan,2020-07-10,9910,3236,125,552
Laos,2020-07-10,19,0,0,0
Latvia,2020-07-10,1165,1019,30,11
Lebanon,2020-07-10,2082,1402,36,71
Lesotho,2020-07-10,184,26,1,50
Liberia,2020-07-10,963,400,47,6
Libya,2020-07-10,1342,307,38,0
Liechtenstein,2020-07-10,84,81,1,0
Lithuania,2020-07-10,1861,1569,79,4
Luxembourg,2020-07-10,4777,4086,110,58
Madagascar,2020-07-10,4143,2183,34,361
Malawi,2020-07-10,2069,379,31,127
Malaysia,2020-07-10,8696,8511,121,13
Maldives,2020-07-10,2617,2238,13,64
Mali,2020-07-10,2404,1650,121,34
Malta,2020-07-10,674,658,9,0
Mauritania,2020-07-10,5203,2111,146,77
Mauritius,2020-07-10,342,330,10,0
Mexico,2020-07-10,289174,225356,34191,6891
Moldova,2020-07-10,18924,12188,635,258
Monaco,2020-07-10,108,96,4,0
Mongolia,2020-07-10,227,200,0,0
Montenegro,2020-07-10,1019,320,19,0
Morocco,2020-07-10,15328,11827,243,249
Mozambique,2020-07-10,1111,0,9,19
Namibia,2020-07-10,668,25,1,53
Nepal,2020-07-10,16649,8011,35,118
Netherlands,2020-07-10,51055,192,6155,42
New Zealand,2020-07-10,1543,1497,22,1
Nicaragua,2020-07-10,2846,1993,91,0
Niger,2020-07-10,1099,978,68,2
Nigeria,2020-07-10,31323,12795,709,575
North Macedonia,2020-07-10,7777,3960,368,205
Norway,2020-07-10,8974,8138,252,9
Oman,2020-07-10,53614,34225,244,1889
Pakistan,2020-07-10,246351,153134,5123,2752
Panama,2020-07-10,43257,21426,863,1041
Papua New Guinea,2020-07-10,11,8,0,0
Paraguay,2020-07-10,2736,1256,20,98
Peru,2020-07-10,319646,210638,11500,3198
Philippines,2020-07-10,52914,13230,1360,1160
Poland,2020-07-10,37216,26048,1562,265
Portugal,2020-07-10,45679,30350,1646,402
Qatar,2020-07-10,102630,98233,146,520
Romania,2020-07-10,31381,21129,1847,592
Russia,2020-07-10,712863,488234,11000,6623
Rwanda,2020-07-10,1252,635,3,42
Saint Kitts and Nevis,2020-07-10,17,15,0,1
Saint Lucia,2020-07-10,22,19,0,0
Saint Vincent and the Grenadines,2020-07-10,29,29,0,0
San Marino,2020-07-10,699,656,42,0
Sao Tome and Principe,2020-07-10,727,284,14,1
Saudi Arabia,2020-07-10,226486,163026,2151,3159
Senegal,2020-07-10,7882,5311,145,98
Serbia,2020-07-10,17728,13719,370,386
Seychelles,2020-07-10,100,11,0,6
Sierra Leone,2020-07-10,1613,1133,63,15
Singapore,2020-07-10,45614,41780,26,191
Slovakia,2020-07-10,1870,1481,28,19
Slovenia,2020-07-10,1793,1429,111,17
Somalia,2020-07-10,3038,1209,92,0
South Africa,2020-07-10,250687,118232,3860,12348
South Sudan,2020-07-10,2021,333,38,0
Spain,2020-07-10,253908,150376,28403,852
Sri Lanka,2020-07-10,2454,1980,11,300
Sudan,2020-07-10,10204,5277,649,46
Suriname,2020-07-10,726,481,18,32
Sweden,2020-07-10,74898,0,5526,565
Switzerland,2020-07-10,32690,29400,1966,104
Syria,2020-07-10,394,0,16,22
Taiwan*,2020-07-10,449,438,7,0
Tajikistan,2020-07-10,6457,0,55,47
Tanzania,2020-07-10,509,183,21,0
Thailand,2020-07-10,3202,3087,58,0
Timor-Leste,2020-07-10,24,0,0,0
Togo,2020-07-10,710,494,15,6
Trinidad and Tobago,2020-07-10,133,120,8,0
Tunisia,2020-07-10,1240,1067,50,9
Turkey,2020-07-10,210965,191883,5323,1003
Uganda,2020-07-10,1006,938,0,6
Ukraine,2020-07-10,53116,25634,1362,831
United Arab Emirates,2020-07-10,54050,43969,330,473
United Kingdom,2020-07-10,289678,1378,44735,524
Uruguay,2020-07-10,985,886,29,8
USA,2020-07-10,3184573,983185,134092,66627
Uzbekistan,2020-07-10,12027,7530,54,463
Venezuela,2020-07-10,8803,2671,83,431
Vietnam,2020-07-10,370,350,0,1
West Bank and Gaza,2020-07-10,5551,536,27,331
Western Sahara,2020-07-10,10,8,1,0
Yemen,2020-07-10,1380,0,364,24
Zambia,2020-07-10,1895,1348,42,0
Zimbabwe,2020-07-10,942,320,13,57
