date,status,cases
2020-03-23,Deaths,16758
2020-03-23,Recovered,98336
2020-03-24,Confirmed,425535
2020-03-24,Deaths,19028
2020-03-24,Recovered,107875
2020-03-25,Confirmed,476369
2020-03-25,Deaths,21803
2020-03-25,Recovered,113585
2020-03-26,Confirmed,539307
2020-03-26,Deaths,24810
2020-03-26,Recovered,121949
2020-03-27,Confirmed,603674
2020-03-27,Deaths,28324
2020-03-27,Recovered,130646
2020-03-28,Confirmed,671309
2020-03-28,Deaths,32003
2020-03-28,Recovered,138930
2020-03-29,Confirmed,730880
2020-03-29,Deaths,35471
2020-03-29,Recovered,148397
2020-03-30,Confirmed,795425
2020-03-30,Deaths,39633
2020-03-30,Recovered,163834
2020-03-31,Confirmed,871674
2020-03-31,Deaths,44477
2020-03-31,Recovered,176194
2020-04-01,Confirmed,947840
2020-04-01,Deaths,50027
2020-04-01,Recovered,191552
2020-04-02,Confirmed,1029275
2020-04-02,Deaths,56334
2020-04-02,Recovered,208182
2020-04-03,Confirmed,1112215
2020-04-03,Deaths,62314
2020-04-03,Recovered,223189
2020-04-04,Confirmed,1192742
2020-04-04,Deaths,68163
2020-04-04,Recovered,243197
2020-04-05,Confirmed,1264109
2020-04-05,Deaths,73178
2020-04-05,Recovered,256601
2020-04-06,Confirmed,1337062
2020-04-06,Deaths,79015
2020-04-06,Recovered,272990
2020-04-07,Confirmed,1413812
2020-04-07,Deaths,86922
2020-04-07,Recovered,295842
2020-04-08,Confirmed,1497403
2020-04-08,Deaths,93651
2020-04-08,Recovered,324194
2020-04-09,Confirmed,1583844
2020-04-09,Deaths,101266
2020-04-09,Recovered,348522
2020-04-10,Confirmed,1671729
2020-04-10,Deaths,108531
2020-04-10,Recovered,369646
2020-04-11,Confirmed,1748223
2020-04-11,Deaths,114586
2020-04-11,Recovered,395158
2020-04-12,Confirmed,1845226
2020-04-12,Deaths,120317
2020-04-12,Recovered,414027
2020-04-13,Confirmed,1915142
2020-04-13,Deaths,126070
2020-04-13,Recovered,440558
2020-04-14,Confirmed,1984840
2020-04-14,Deaths,132972
2020-04-14,Recovered,465199
2020-04-15,Confirmed,2065566
2020-04-15,Deaths,141271
2020-04-15,Recovered,501110
2020-04-16,Confirmed,2162241
2020-04-16,Deaths,148568
2020-04-16,Recovered,531206
2020-04-17,Confirmed,2250566
2020-04-17,Deaths,157457
2020-04-17,Recovered,556479
2020-04-18,Confirmed,2323831
2020-04-18,Deaths,163928
2020-04-18,Recovered,579981
2020-04-19,Confirmed,2404673
2020-04-19,Deaths,168506
2020-04-19,Recovered,610748
2020-04-20,Confirmed,2477668
2020-04-20,Deaths,173929
2020-04-20,Recovered,632054
2020-04-21,Confirmed,2552783
2020-04-21,Deaths,181080
2020-04-21,Recovered,666235
2020-04-22,Confirmed,2629660
2020-04-22,Deaths,187837
2020-04-22,Recovered,695398
2020-04-23,Confirmed,2719097
2020-04-23,Deaths,194706
2020-04-23,Recovered,723881
2020-04-24,Confirmed,2806113
2020-04-24,Deaths,201387
2020-04-24,Recovered,773522
2020-04-25,Confirmed,2890304
2020-04-25,Deaths,206961
2020-04-25,Recovered,800432
2020-04-26,Confirmed,2963242
2020-04-26,Deaths,210840
2020-04-26,Recovered,828162
2020-04-27,Confirmed,3032503
2020-04-27,Deaths,215478
2020-04-27,Recovered,854575
2020-04-28,Confirmed,3107085
2020-04-28,Deaths,221931
2020-04-28,Recovered,886872
2020-04-29,Confirmed,3183962
2020-04-29,Deaths,228695
2020-04-29,Recovered,927944
2020-04-30,Confirmed,3267740
2020-04-30,Deaths,234652
2020-04-30,Recovered,991808
2020-05-01,Confirmed,3354731
2020-05-01,Deaths,239824
2020-05-01,Recovered,1028693
2020-05-02,Confirmed,3435281
2020-05-02,Deaths,245142
2020-05-02,Recovered,1068554
2020-05-03,Confirmed,3513023
2020-05-03,Deaths,248584
2020-05-03,Recovered,1099769
2020-05-04,Confirmed,3589133
2020-05-04,Deaths,252739
2020-05-04,Recovered,1132720
2020-05-05,Confirmed,3669172
2020-05-05,Deaths,258618
2020-05-05,Recovered,1168349
2020-05-06,Confirmed,3759093
2020-05-06,Deaths,265272
2020-05-06,Recovered,1213087
2020-05-07,Confirmed,3848305
2020-05-07,Deaths,270689
2020-05-07,Recovered,1251504
2020-05-08,Confirmed,3939833
2020-05-08,Deaths,276252
2020-05-08,Recovered,1287042
2020-05-09,Confirmed,4023441
2020-05-09,Deaths,280515
2020-05-09,Recovered,1339561
2020-05-10,Confirmed,4099732
2020-05-10,Deaths,284085
2020-05-10,Recovered,1372308
2020-05-11,Confirmed,4176006
2020-05-11,Deaths,287547
2020-05-11,Recovered,1418404
2020-05-12,Confirmed,4259403
2020-05-12,Deaths,293090
2020-05-12,Recovered,1454391
2020-05-13,Confirmed,4344421
2020-05-13,Deaths,298321
2020-05-13,Recovered,1509111
2020-05-14,Confirmed,4441499
2020-05-14,Deaths,303592
2020-05-14,Recovered,1547918
2020-05-15,Confirmed,4537879
2020-05-15,Deaths,308805
2020-05-15,Recovered,1595086
2020-05-16,Confirmed,4629672
2020-05-16,Deaths,312958
2020-05-16,Recovered,1650752
2020-05-17,Confirmed,4708205
2020-05-17,Deaths,316297
2020-05-17,Recovered,1690906
2020-05-18,Confirmed,4796476
2020-05-18,Deaths,319584
2020-05-18,Recovered,1743116
2020-05-19,Confirmed,4892934
2020-05-19,Deaths,324375
2020-05-19,Recovered,1794463
2020-05-20,Confirmed,4995742
2020-05-20,Deaths,329236
2020-05-20,Recovered,1852648
2020-05-21,Confirmed,5102278
2020-05-21,Deaths,334028
2020-05-21,Recovered,1902975
2020-05-22,Confirmed,5209244
2020-05-22,Deaths,339314
2020-05-22,Recovered,2010748
2020-05-23,Confirmed,5308225
2020-05-23,Deaths,343305
2020-05-23,Recovered,2065009
2020-05-24,Confirmed,5403524
2020-05-24,Deaths,346127
2020-05-24,Recovered,2119762
2020-05-25,Confirmed,5490497
2020-05-25,Deaths,347309
2020-05-25,Recovered,2182812
2020-05-26,Confirmed,5583031
2020-05-26,Deaths,351520
2020-05-26,Recovered,2237325
2020-05-27,Confirmed,5685633
2020-05-27,Deaths,356707
2020-05-27,Recovered,2299820
2020-05-28,Confirmed,5803599
2020-05-28,Deaths,361392
2020-05-28,Recovered,2365953
2020-05-29,Confirmed,5924709
2020-05-29,Deaths,366076
2020-05-29,Recovered,2442334
2020-05-30,Confirmed,6053134
2020-05-30,Deaths,370211
2020-05-30,Recovered,2512188
2020-05-31,Confirmed,6160243
2020-05-31,Deaths,373078
2020-05-31,Recovered,2587796
2020-06-01,Confirmed,6256493
2020-06-01,Deaths,376608
2020-06-01,Recovered,2641807
2020-06-02,Confirmed,6369046
2020-06-02,Deaths,381307
2020-06-02,Recovered,2745291
2020-06-03,Confirmed,6496381
