country_region,date,Confirmed,recovered_sum,deaths_sum,New Case,region,code,year
Mauritania,2020-07-07,5024,1944,135,76,Mauritania,MRT,2016
Djibouti,2020-07-07,4878,4621,55,56,NA,NA,NA
West Bank and Gaza,2020-07-07,4647,494,18,306,West Bank and Gaza,PSE,2016
Luxembourg,2020-07-07,4603,4056,110,61,Luxembourg,LUX,2016
Hungary,2020-07-07,4205,2874,589,16,Hungary,HUN,2016
Central African Republic,2020-07-07,4071,976,52,38,Central African Republic,CAF,2016
Kosovo,2020-07-07,3703,1946,79,195,Kosovo,XKX,2016
Greece,2020-07-07,3589,1374,193,27,Greece,GRC,2016
Madagascar,2020-07-07,3472,1187,33,222,Madagascar,MDG,2016
Croatia,2020-07-07,3272,2229,113,52,Croatia,HRV,2016
Thailand,2020-07-07,3197,3074,58,2,Thailand,THA,2016
Equatorial Guinea,2020-07-07,3071,842,51,0,Equatorial Guinea,GNQ,2016
Albania,2020-07-07,3038,1744,81,74,Albania,ALB,2016
Somalia,2020-07-07,3015,1096,92,9,Somalia,SOM,2016
Nicaragua,2020-07-07,2846,1993,91,327,Nicaragua,NIC,2016
Paraguay,2020-07-07,2502,1193,20,46,Paraguay,PRY,2016
Maldives,2020-07-07,2501,2158,12,10,Maldives,MDV,2016
Cuba,2020-07-07,2395,2240,86,15,NA,NA,NA
Mali,2020-07-07,2348,1556,119,17,Mali,MLI,2016
Sri Lanka,2020-07-07,2081,1955,11,4,Sri Lanka,LKA,2016
South Sudan,2020-07-07,2021,333,38,0,NA,NA,NA
Estonia,2020-07-07,1995,1880,69,1,Estonia,EST,2016
Lebanon,2020-07-07,1907,1348,36,22,Lebanon,LBN,2016
Zambia,2020-07-07,1895,1348,42,263,Zambia,ZMB,2016
Iceland,2020-07-07,1873,1847,10,7,Iceland,ISL,2016
Lithuania,2020-07-07,1844,1547,79,3,Lithuania,LTU,2016
Malawi,2020-07-07,1818,317,19,76,Malawi,MWI,2016
Guinea-Bissau,2020-07-07,1790,760,25,0,Guinea-Bissau,GNB,2016
Slovakia,2020-07-07,1767,1473,28,2,NA,NA,NA
Slovenia,2020-07-07,1739,1423,111,23,Slovenia,SVN,2016
Sierra Leone,2020-07-07,1572,1088,63,25,Sierra Leone,SLE,2016
Congo (Brazzaville),2020-07-07,1557,501,44,0,"Congo, Rep.",COG,2016
New Zealand,2020-07-07,1537,1492,22,1,New Zealand,NZL,2016
Cabo Verde,2020-07-07,1499,724,18,36,Cabo Verde,CPV,2016
Yemen,2020-07-07,1297,591,348,13,NA,NA,NA
Tunisia,2020-07-07,1205,1049,50,6,Tunisia,TUN,2016
Benin,2020-07-07,1199,333,21,0,Benin,BEN,2016
Libya,2020-07-07,1182,295,35,65,NA,NA,NA
Rwanda,2020-07-07,1172,595,3,59,Rwanda,RWA,2016
Jordan,2020-07-07,1169,969,10,2,Jordan,JOR,2016
Latvia,2020-07-07,1134,1008,30,7,Latvia,LVA,2016
Niger,2020-07-07,1094,974,68,1,Niger,NER,2016
Eswatini,2020-07-07,1056,570,14,45,Swaziland,SWZ,2016
Mozambique,2020-07-07,1040,0,8,28,Mozambique,MOZ,2016
Cyprus,2020-07-07,1005,839,19,1,Cyprus,CYP,2016
Burkina Faso,2020-07-07,1003,860,53,3,Burkina Faso,BFA,2016
Uganda,2020-07-07,971,896,0,18,Uganda,UGA,2016
Uruguay,2020-07-07,965,865,29,5,Uruguay,URY,2016
Georgia,2020-07-07,958,838,15,5,Georgia,GEO,2016
Liberia,2020-07-07,917,394,41,26,Liberia,LBR,2016
Montenegro,2020-07-07,907,320,17,66,Montenegro,MNE,2016
Chad,2020-07-07,873,788,74,1,Chad,TCD,2016
Andorra,2020-07-07,855,800,52,0,Andorra,AND,2016
Zimbabwe,2020-07-07,787,201,9,53,Zimbabwe,ZWE,2016
Jamaica,2020-07-07,745,599,10,8,Jamaica,JAM,2016
Sao Tome and Principe,2020-07-07,724,279,13,3,Sao Tome and Principe,STP,2016
San Marino,2020-07-07,698,656,42,0,San Marino,SMR,2016
Togo,2020-07-07,689,467,15,9,Togo,TGO,2016
Malta,2020-07-07,673,653,9,1,Malta,MLT,2016
Suriname,2020-07-07,634,405,15,20,Suriname,SUR,2016
Namibia,2020-07-07,539,25,0,54,Namibia,NAM,2016
Tanzania,2020-07-07,509,183,21,0,Tanzania,TZA,2016
Taiwan*,2020-07-07,449,438,7,0,NA,NA,NA
Angola,2020-07-07,386,117,21,40,Angola,AGO,2016
Syria,2020-07-07,372,0,14,0,NA,NA,NA
Vietnam,2020-07-07,369,342,0,0,Vietnam,VNM,2016
Mauritius,2020-07-07,342,330,10,0,Mauritius,MUS,2016
Burma,2020-07-07,316,245,6,0,NA,NA,NA
Botswana,2020-07-07,314,31,1,0,Botswana,BWA,2016
Comoros,2020-07-07,311,266,7,0,Comoros,COM,2016
Guyana,2020-07-07,284,125,16,11,Guyana,GUY,2016
Mongolia,2020-07-07,227,195,0,2,Mongolia,MNG,2016
Eritrea,2020-07-07,215,56,0,0,NA,NA,NA
Burundi,2020-07-07,191,118,1,0,Burundi,BDI,2016
Brunei,2020-07-07,141,138,3,0,NA,NA,NA
Cambodia,2020-07-07,141,131,0,0,Cambodia,KHM,2016
Trinidad and Tobago,2020-07-07,133,117,8,0,Trinidad and Tobago,TTO,2016
