country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-07,33384,20179,920,194
Albania,2020-07-07,3038,1744,81,74
Algeria,2020-07-07,16879,12094,968,475
Andorra,2020-07-07,855,800,52,0
Angola,2020-07-07,386,117,21,40
Antigua and Barbuda,2020-07-07,70,23,3,0
Argentina,2020-07-07,83426,30095,1644,2979
Armenia,2020-07-07,29285,16907,503,349
Australia,2020-07-07,8886,7487,106,131
Austria,2020-07-07,18421,16686,706,56
Azerbaijan,2020-07-07,21374,12635,265,537
Bahamas,2020-07-07,104,89,11,0
Bahrain,2020-07-07,30321,25570,98,500
Bangladesh,2020-07-07,168645,78102,2151,3027
Barbados,2020-07-07,98,90,7,0
Belarus,2020-07-07,64003,51902,436,199
Belgium,2020-07-07,62058,17122,9774,0
Belize,2020-07-07,30,19,2,0
Benin,2020-07-07,1199,333,21,0
Bhutan,2020-07-07,80,55,0,0
Bolivia,2020-07-07,41545,12398,1530,1036
Bosnia and Herzegovina,2020-07-07,5621,2693,207,163
Botswana,2020-07-07,314,31,1,0
Brazil,2020-07-07,1668589,1107012,66741,45305
Brunei,2020-07-07,141,138,3,0
Bulgaria,2020-07-07,6102,3037,254,188
Burkina Faso,2020-07-07,1003,860,53,3
Burma,2020-07-07,316,245,6,0
Burundi,2020-07-07,191,118,1,0
Cabo Verde,2020-07-07,1499,724,18,36
Cambodia,2020-07-07,141,131,0,0
Cameroon,2020-07-07,14916,11525,359,2324
Canada,2020-07-07,108023,0,8765,208
Central African Republic,2020-07-07,4071,976,52,38
Chad,2020-07-07,873,788,74,1
Chile,2020-07-07,301019,268251,6434,2462
China,2020-07-07,84917,79754,4641,28
Colombia,2020-07-07,120281,50370,4452,2869
Comoros,2020-07-07,311,266,7,0
Congo (Brazzaville),2020-07-07,1557,501,44,0
Congo (Kinshasa),2020-07-07,7432,3226,182,0
Costa Rica,2020-07-07,5486,1810,23,245
Cote d'Ivoire,2020-07-07,11194,5487,76,228
Croatia,2020-07-07,3272,2229,113,52
Cuba,2020-07-07,2395,2240,86,15
Cyprus,2020-07-07,1005,839,19,1
Czechia,2020-07-07,12685,7910,351,119
Denmark,2020-07-07,13089,12184,609,10
Djibouti,2020-07-07,4878,4621,55,56
Dominica,2020-07-07,18,18,0,0
Dominican Republic,2020-07-07,38430,19564,821,302
Ecuador,2020-07-07,63245,29071,4873,865
Egypt,2020-07-07,77279,21718,3489,1057
El Salvador,2020-07-07,8307,4929,229,280
Equatorial Guinea,2020-07-07,3071,842,51,0
Eritrea,2020-07-07,215,56,0,0
Estonia,2020-07-07,1995,1880,69,1
Eswatini,2020-07-07,1056,570,14,45
Ethiopia,2020-07-07,5846,2430,103,0
Fiji,2020-07-07,21,18,0,0
Finland,2020-07-07,7262,6700,329,5
France,2020-07-07,206072,77780,29936,475
Gabon,2020-07-07,5743,2574,46,0
Gambia,2020-07-07,61,27,3,0
Georgia,2020-07-07,958,838,15,5
Germany,2020-07-07,198343,182661,9032,279
Ghana,2020-07-07,21968,17156,129,891
Greece,2020-07-07,3589,1374,193,27
Grenada,2020-07-07,23,23,0,0
Guatemala,2020-07-07,24787,3575,1004,815
Guinea,2020-07-07,5636,4542,34,26
Guinea-Bissau,2020-07-07,1790,760,25,0
Guyana,2020-07-07,284,125,16,11
Haiti,2020-07-07,6432,2080,117,61
Holy See,2020-07-07,12,12,0,0
Honduras,2020-07-07,25428,2637,677,763
Hungary,2020-07-07,4205,2874,589,16
Iceland,2020-07-07,1873,1847,10,7
India,2020-07-07,742417,456831,20642,22753
Indonesia,2020-07-07,66226,30785,3309,1268
Iran,2020-07-07,245688,207000,11931,2637
Iraq,2020-07-07,64701,36252,2685,2426
Ireland,2020-07-07,25538,23364,1742,7
Israel,2020-07-07,32222,18227,342,1473
Italy,2020-07-07,241956,192815,34899,137
Jamaica,2020-07-07,745,599,10,8
Japan,2020-07-07,20055,17057,981,207
Jordan,2020-07-07,1169,969,10,2
Kazakhstan,2020-07-07,51059,16298,264,1376
Kenya,2020-07-07,8250,2504,167,183
"Korea, South",2020-07-07,13244,11970,285,63
Kosovo,2020-07-07,3703,1946,79,195
Kuwait,2020-07-07,51245,41515,377,601
Kyrgyzstan,2020-07-07,8279,2967,107,138
Laos,2020-07-07,19,19,0,0
Latvia,2020-07-07,1134,1008,30,7
Lebanon,2020-07-07,1907,1348,36,22
Lesotho,2020-07-07,91,11,0,0
Liberia,2020-07-07,917,394,41,26
Libya,2020-07-07,1182,295,35,65
Liechtenstein,2020-07-07,84,81,1,0
Lithuania,2020-07-07,1844,1547,79,3
Luxembourg,2020-07-07,4603,4056,110,61
Madagascar,2020-07-07,3472,1187,33,222
Malawi,2020-07-07,1818,317,19,76
Malaysia,2020-07-07,8674,8481,121,6
Maldives,2020-07-07,2501,2158,12,10
Mali,2020-07-07,2348,1556,119,17
Malta,2020-07-07,673,653,9,1
Mauritania,2020-07-07,5024,1944,135,76
Mauritius,2020-07-07,342,330,10,0
Mexico,2020-07-07,268008,209437,32014,6258
Moldova,2020-07-07,18141,11241,603,235
Monaco,2020-07-07,108,95,4,0
Mongolia,2020-07-07,227,195,0,2
Montenegro,2020-07-07,907,320,17,66
Morocco,2020-07-07,14607,10639,240,228
Mozambique,2020-07-07,1040,0,8,28
Namibia,2020-07-07,539,25,0,54
Nepal,2020-07-07,16168,7499,35,204
Netherlands,2020-07-07,50907,187,6151,37
New Zealand,2020-07-07,1537,1492,22,1
Nicaragua,2020-07-07,2846,1993,91,327
Niger,2020-07-07,1094,974,68,1
Nigeria,2020-07-07,29789,12108,669,503
North Macedonia,2020-07-07,7244,3324,351,120
Norway,2020-07-07,8947,8138,251,11
Oman,2020-07-07,48997,31000,224,1262
Pakistan,2020-07-07,237489,140965,4922,2980
Panama,2020-07-07,40291,18726,799,957
Papua New Guinea,2020-07-07,11,8,0,0
Paraguay,2020-07-07,2502,1193,20,46
Peru,2020-07-07,309278,200938,10952,3575
Philippines,2020-07-07,47873,12386,1309,1540
Poland,2020-07-07,36412,24238,1528,257
Portugal,2020-07-07,44416,29445,1629,287
Qatar,2020-07-07,100945,94903,134,600
Romania,2020-07-07,29620,20534,1799,397
Russia,2020-07-07,693215,463103,10478,6363
Rwanda,2020-07-07,1172,595,3,59
Saint Kitts and Nevis,2020-07-07,16,15,0,0
Saint Lucia,2020-07-07,22,19,0,0
Saint Vincent and the Grenadines,2020-07-07,29,29,0,0
San Marino,2020-07-07,698,656,42,0
Sao Tome and Principe,2020-07-07,724,279,13,3
Saudi Arabia,2020-07-07,217108,154839,2017,3392
Senegal,2020-07-07,7547,5023,137,69
Serbia,2020-07-07,16719,13447,330,299
Seychelles,2020-07-07,81,11,0,0
Sierra Leone,2020-07-07,1572,1088,63,25
Singapore,2020-07-07,45140,41002,26,157
Slovakia,2020-07-07,1767,1473,28,2
Slovenia,2020-07-07,1739,1423,111,23
Somalia,2020-07-07,3015,1096,92,9
South Africa,2020-07-07,215855,102299,3502,10134
South Sudan,2020-07-07,2021,333,38,0
Spain,2020-07-07,252130,150376,28392,341
Sri Lanka,2020-07-07,2081,1955,11,4
Sudan,2020-07-07,9997,5034,622,103
Suriname,2020-07-07,634,405,15,20
Sweden,2020-07-07,73344,0,5447,283
Switzerland,2020-07-07,32369,29300,1966,54
Syria,2020-07-07,372,0,14,0
Taiwan*,2020-07-07,449,438,7,0
Tajikistan,2020-07-07,6315,4965,53,53
Tanzania,2020-07-07,509,183,21,0
Thailand,2020-07-07,3197,3074,58,2
Timor-Leste,2020-07-07,24,0,0,0
Togo,2020-07-07,689,467,15,9
Trinidad and Tobago,2020-07-07,133,117,8,0
Tunisia,2020-07-07,1205,1049,50,6
Turkey,2020-07-07,207897,185292,5260,1053
Uganda,2020-07-07,971,896,0,18
Ukraine,2020-07-07,50622,22970,1299,569
United Arab Emirates,2020-07-07,52600,41714,326,532
United Kingdom,2020-07-07,287874,1375,44476,584
Uruguay,2020-07-07,965,865,29,5
USA,2020-07-07,2996098,936476,131480,60021
Uzbekistan,2020-07-07,10838,6811,41,476
Venezuela,2020-07-07,7693,2100,71,282
Vietnam,2020-07-07,369,342,0,0
West Bank and Gaza,2020-07-07,4647,494,18,306
Western Sahara,2020-07-07,10,8,1,0
Yemen,2020-07-07,1297,591,348,13
Zambia,2020-07-07,1895,1348,42,263
Zimbabwe,2020-07-07,787,201,9,53
