State,polygon,long,lat
New South Wales,2,149.9312134,-36.9645577
New South Wales,2,149.9266663,-36.9917412
New South Wales,2,149.929306,-37.0057755
New South Wales,2,149.9431,-37.0172234
New South Wales,2,149.9393921,-37.0389023
New South Wales,2,149.9243469,-37.0459862
New South Wales,2,149.9134064,-37.0698776
New South Wales,2,149.9008484,-37.0695
New South Wales,2,149.8729706,-37.0822639
New South Wales,2,149.8742523,-37.0966606
New South Wales,2,149.8920288,-37.0978241
New South Wales,2,149.9126739,-37.1120453
New South Wales,2,149.9528198,-37.1014671
New South Wales,2,149.9705505,-37.1274643
New South Wales,2,149.9850769,-37.1379662
New South Wales,2,150.0051575,-37.1425018
New South Wales,2,150.0119019,-37.1804962
New South Wales,2,150.0182648,-37.191906
New South Wales,2,150.0313416,-37.2381592
New South Wales,2,150.0511475,-37.2630768
New South Wales,2,150.011734,-37.2548103
New South Wales,2,149.9867859,-37.239933
New South Wales,2,149.9660187,-37.2498436
New South Wales,2,149.9429321,-37.2825241
New South Wales,2,149.969223,-37.3092194
New South Wales,2,149.972168,-37.3285217
New South Wales,2,149.9588165,-37.3477745
New South Wales,2,149.9498291,-37.3746681
New South Wales,2,149.9552765,-37.3888283
New South Wales,2,149.9567718,-37.4239311
New South Wales,2,149.9751587,-37.4448318
New South Wales,2,149.973114,-37.4691963
New South Wales,2,149.9766846,-37.5050583
New South Wales,2,149.7862244,-37.4313431
New South Wales,2,149.5049133,-37.3216705
New South Wales,2,149.1997681,-37.2011871
New South Wales,2,148.9761963,-37.1120148
New South Wales,2,148.6800079,-36.9926643
New South Wales,2,148.3846283,-36.8734589
New South Wales,2,148.1949463,-36.7962532
New South Wales,2,148.1808319,-36.7985573
New South Wales,2,148.1561127,-36.7900734
New South Wales,2,148.1088257,-36.7970009
New South Wales,2,148.1047211,-36.7805061
New South Wales,2,148.1390991,-36.7322121
New South Wales,2,148.171875,-36.7100334
New South Wales,2,148.1851196,-36.6922188
New South Wales,2,148.1897583,-36.675354
New South Wales,2,148.2206726,-36.6257591
New South Wales,2,148.2035675,-36.5887718
New South Wales,2,148.1651154,-36.578228
New South Wales,2,148.1491547,-36.5617714
New South Wales,2,148.1334076,-36.5669212
New South Wales,2,148.1243897,-36.5504494
New South Wales,2,148.1398163,-36.5256043
New South Wales,2,148.1283874,-36.5027962
New South Wales,2,148.1247101,-36.4648056
New South Wales,2,148.0874786,-36.4517403
New South Wales,2,148.0869904,-36.4322319
New South Wales,2,148.0766144,-36.4184799
New South Wales,2,148.0583496,-36.414054899999996
New South Wales,2,148.0379639,-36.3659859
New South Wales,2,148.0552673,-36.3328056
New South Wales,2,148.0354919,-36.2928925
New South Wales,2,148.0330505,-36.2755547
New South Wales,2,148.0389404,-36.2617836
New South Wales,2,148.0289764,-36.2472229
New South Wales,2,148.0269013,-36.225956
New South Wales,2,148.0406342,-36.2074509
New South Wales,2,148.0244751,-36.1851768
New South Wales,2,148.0288849,-36.1400795
New South Wales,2,148.0020447,-36.1354485
New South Wales,2,147.9922485,-36.1146851
New South Wales,2,147.997757,-36.1043015
New South Wales,2,147.9877624,-36.0821648
New South Wales,2,147.9975739,-36.0477676
New South Wales,2,147.9645996,-36.046882600000004
New South Wales,2,147.9551086,-36.0419083
New South Wales,2,147.9245911,-36.0427475
New South Wales,2,147.9120636,-36.0270958
New South Wales,2,147.9169159,-36.0108452
New South Wales,2,147.9123383,-35.9951973
New South Wales,2,147.8846893,-35.9987907
New South Wales,2,147.8727112,-35.9910088
New South Wales,2,147.8494415,-35.9896011
New South Wales,2,147.811203,-35.9673004
New South Wales,2,147.7964325,-35.9638329
New South Wales,2,147.7770386,-35.9686279
New South Wales,2,147.7575378,-35.9548416
New South Wales,2,147.7412872,-35.9564896
New South Wales,2,147.7214966,-35.9469147
New South Wales,2,147.7084198,-35.9285431
New South Wales,2,147.6820831,-35.9425659
New South Wales,2,147.653717,-35.944149
New South Wales,2,147.6377716,-35.9621086
New South Wales,2,147.6006775,-35.9790916
New South Wales,2,147.5918884,-35.9698601
New South Wales,2,147.5552521,-36.0032082
New South Wales,2,147.5148926,-35.9766388
New South Wales,2,147.4985962,-35.94664
New South Wales,2,147.4640655,-35.9441376
New South Wales,2,147.4561615,-35.9577789
New South Wales,2,147.4042664,-35.9435615
New South Wales,2,147.3902893,-35.9496078
New South Wales,2,147.3836822,-35.9723511
New South Wales,2,147.3618774,-35.9882736
New South Wales,2,147.3460693,-36.0242462
New South Wales,2,147.3529205,-36.0315819
New South Wales,2,147.3292236,-36.0543594
New South Wales,2,147.3110352,-36.0611534
New South Wales,2,147.3002777,-36.0452766
New South Wales,2,147.2422333,-36.0385323
New South Wales,2,147.2238007,-36.0486832
New South Wales,2,147.2045288,-36.0499344
New South Wales,2,147.1615906,-36.0310554
New South Wales,2,147.1371765,-36.0286255
New South Wales,2,147.1118164,-36.0079117
New South Wales,2,147.099411,-36.0243835
New South Wales,2,147.0954437,-36.0527115
New South Wales,2,147.085083,-36.0524635
New South Wales,2,147.0595093,-36.0740395
New South Wales,2,147.0490112,-36.1039047
New South Wales,2,147.0352783,-36.1149139
New South Wales,2,147.0161743,-36.0894966
New South Wales,2,146.9725952,-36.0821114
New South Wales,2,146.9522095,-36.0924835
New South Wales,2,146.9456787,-36.1155167
New South Wales,2,146.9154053,-36.1124344
New South Wales,2,146.9019318,-36.083046
New South Wales,2,146.8805542,-36.0875244
New South Wales,2,146.8729553,-36.0736809
New South Wales,2,146.8487091,-36.0866051
New South Wales,2,146.8272553,-36.0781288
New South Wales,2,146.8040314,-36.0580444
New South Wales,2,146.7602081,-36.0581703
New South Wales,2,146.7305908,-36.0449524
New South Wales,2,146.7328491,-36.0265846
New South Wales,2,146.716629,-36.0265045
New South Wales,2,146.687027,-36.0408211
New South Wales,2,146.6788788,-36.0218735
New South Wales,2,146.6559143,-36.0261955
New South Wales,2,146.6405945,-36.0093651
New South Wales,2,146.6079712,-35.9859047
New South Wales,2,146.6118622,-35.9721336
New South Wales,2,146.5697022,-35.9790115
New South Wales,2,146.5504761,-35.992179899999996
New South Wales,2,146.5259399,-35.969902
New South Wales,2,146.5013428,-35.9627266
New South Wales,2,146.4871521,-35.9866371
New South Wales,2,146.4651184,-35.9807777
New South Wales,2,146.4565124,-35.9664841
New South Wales,2,146.4366913,-35.9669266
